"brand","sku_count","reference_count"
"MAHLE","473","749"
"WIX","461","1073"
"HENGST","410","623"
"MAGNETI-MARELLI","395","917"
"KNECHT","377","973"
"FILTRON","335","391"
"FRAM","333","992"
"HIFI-FILTER","327","350"
"UFI","311","605"
"PURFLUX","310","594"
"MECAFILTER","281","570"
"ALCO","267","461"
"BOSCH","261","1736"
"SOFIMA","261","310"
"TECNOCAR","260","329"
"CLEAN","254","340"
"WILMINK-GROUP","247","720"
"FLEETGUARD","243","922"
"QUINTON-HAZELL","242","315"
"COMLINE","232","260"
"BALDWIN","224","932"
"VALEO","224","332"
"DONALDSON","217","742"
"LUBERFINER","208","949"
"MULLER","198","225"
"MISFAT","194","261"
"CARQUEST","191","819"
"KOLBENSCHMIDT","182","513"
"M-FILTER","176","258"
"CROSLAND","169","623"
"KAGER","169","203"
"PUROLATOR","166","1018"
"HASTINGS","161","623"
"COOPERS","160","418"
"SCT","160","176"
"AC-DELCO","158","1064"
"MEAT-DORIA","158","245"
"SAKURA","158","188"
"HOFFER","156","328"
"MGA","155","166"
"DELPHI","154","236"
"PBR","152","525"
"OPEN-PARTS","152","172"
"CHAMPION","150","420"
"COOPERS-FIAAM","149","426"
"FIL-FILTER","141","272"
"UNICO","138","150"
"GUD","135","399"
"TEHO","133","275"
"ASAS","128","145"
"GENERAL-MOTORS","124","823"
"FIRST-AUTOMOTIVE","122","135"
"ARMAFILT","119","247"
"ELOFIC","118","152"
"MOTORCRAFT","115","576"
"FRAD","114","244"
"SOTRAS","114","131"
"FORD","111","1424"
"UNICO-FILTER","111","119"
"LUCAS","108","231"
"KRALINATOR","108","179"
"SOGEFI","108","124"
"COOPERSFIAAM","108","120"
"BIG-A","107","391"
"DEUTZ","106","421"
"NAPA","106","353"
"TJ-FILTERS","106","225"
"PZL-SEDZISZOW","106","112"
"UNIFLUX-FILTERS","102","111"
"DEUTZ-FAHR","101","264"
"DENCKERMANN","101","118"
"FILMAR","101","113"
"WYTWORNIA-FILTROW","101","108"
"FLEETRITE","99","333"
"MEYLE","99","105"
"DIGOMA","98","144"
"DELUXE","97","296"
"GIF-FILTER","96","164"
"CHAMP-LAB","94","374"
"LAUTRETTE","94","241"
"MASSEY-FERGUSON","94","207"
"GOODWILL","94","194"
"CO-OP","93","272"
"DONIT","93","107"
"DIGOEMA-FILTER","92","121"
"CLAAS","91","352"
"GONHER","90","331"
"MOTAQUIP","90","113"
"MOPAR","88","371"
"BECK-ARNLEY","87","444"
"FIAAM","87","209"
"MIGHTY","87","166"
"PHILLIPS-66","87","138"
"ALLIS-CHALMERS","85","259"
"LUCAS-GIRLING","84","682"
"JIFFY-LUBE","84","453"
"MANITOU","84","221"
"DEUTSCH","82","192"
"CENEX","82","177"
"STEYR","81","391"
