"elimfilters_sku","source_sku","segment","ref_brand","ref_code","source_url"
"EA51113","C1113","Air Filter","HIFI-FILTER","SA10331","https://www.airfilter-crossreference.com/convert/MANN/C1113"
"EA51113","C1113","Air Filter","LUBERFINER","LAF73","https://www.airfilter-crossreference.com/convert/MANN/C1113"
"EA51113","C1113","Air Filter","UFI","2771000","https://www.airfilter-crossreference.com/convert/MANN/C1113"
"EA51454","C1145/4","Air Filter","KOLBENSCHMIDT","379-AR","https://www.airfilter-crossreference.com/convert/MANN/C1145/4"
"EA51454","C1145/4","Air Filter","MAGNETI-MARELLI","71758390","https://www.airfilter-crossreference.com/convert/MANN/C1145/4"
"EA51454","C1145/4","Air Filter","PURFLUX","A369","https://www.airfilter-crossreference.com/convert/MANN/C1145/4"
"EA51454","C1145/4","Air Filter","VALEO","585613","https://www.airfilter-crossreference.com/convert/MANN/C1145/4"
"EA51454","C1145/4","Air Filter","WIX","WA6501","https://www.airfilter-crossreference.com/convert/MANN/C1145/4"
"EA51455","C1145/5","Air Filter","BOSCH","F026400011","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","BOSCH","S0011","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","DELPHI","EFA939","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","JAPANPARTS","FA132S","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","JAPANPARTS","FABR16S","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","KOLBENSCHMIDT","379-AR","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","MAGNETI-MARELLI","71758390","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","PURFLUX","A369","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","TECFIL","AR7704","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","VALEO","585613","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","WIX","W48910BR","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51455","C1145/5","Air Filter","WIX","WA6501","https://www.airfilter-crossreference.com/convert/MANN/C1145/5"
"EA51149","C1149","Air Filter","HENGST","E69L","https://www.airfilter-crossreference.com/convert/MANN/C1149"
"EA51149","C1149","Air Filter","HIFI-FILTER","SA10069","https://www.airfilter-crossreference.com/convert/MANN/C1149"
"EA51151","C1151","Air Filter","HIFI-FILTER","SA1531","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","ALCO","MD5034","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","BOSCH","1457433229","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","CHAMPION","V433","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","CLARK","4304239","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","CLARK","4324588","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","CLARK","4325488","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","CLEAN","MA612","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","COOPERSFIAAM","FL6805","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","CROSLAND","8004","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","FILTROMEX","FPO035","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","FILTRON","AR314","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","FRAD","27442620","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","FRAM","CA5331","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","GUD","AG1082","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","H-AIR-FILTER","HR1531","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","HENGST","E349L","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","IMPREFIL","IA1531","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","IMPREFIL","IA8171","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","LAUTRETTE","EL1804","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","LAUTRETTE","EL3451","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","LAUTRETTE","EL3662","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","MAHLE","LX502","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","MISFAT","R234","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","MOTRIO","8671002010","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","PRO-FILTERS","FA2016","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","PURFLUX","A224","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","PURFLUX","A699","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","PUROLATOR","A47949","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","SF-FILTER","SL8171","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","SOFIMA","S7234A","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","SOPARTEX","231018","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","SOPARTEX","231117","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","TECNOCAR","A390","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","UFI","2723400","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","UNICO","AE11242","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","UNIFLUX","XA573","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","WIX","WA6486","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51154","C1154","Air Filter","FIL","HPU4329","https://www.airfilter-crossreference.com/convert/MANN/C1154"
"EA51154","C1154","Air Filter","HIFI-FILTER","SA19586","https://www.airfilter-crossreference.com/convert/MANN/C1154"
"EA51185","C1185","Air Filter","HIFI-FILTER","SA12176","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","AIR-PN","A1F049","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","AIR-PN","A5A133","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","AIRPUR","F4010AT","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","BALDWIN","PA3758","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","BECKER","909578","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","BECKER","90957800000","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","GPC","FC441","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","HENGST","E1840L","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","IMPREFIL","IA9758","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","KAESER","619940","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","KAESER","619941","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","M-FILTER","MAT6685","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","MDF-SARL","MDA2368","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","NOITECH","NA004960","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","OXFIL","AF4009","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","PRO-FILTERS","DA1441","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","RIETSCHLE","730067","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","SF-FILTER","SL8492","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","SOFIMA","S7A27A","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","SOFIN","SAC0080","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","UFI","27A2700","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","WISMET","WAI300023","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51185","C1185","Air Filter","WIX","93053E","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA52014","C12014","Air Filter","HIFI-FILTER","SA17606","https://www.airfilter-crossreference.com/convert/MANN/C12014"
"EA51219","C1219","Air Filter","HIFI-FILTER","SA248","https://www.airfilter-crossreference.com/convert/MANN/C1219"
"EA51219","C1219","Air Filter","MISFAT","R763","https://www.airfilter-crossreference.com/convert/MANN/C1219"
"EA51219","C1219","Air Filter","UFI","2776300","https://www.airfilter-crossreference.com/convert/MANN/C1219"
"EA51230","C1230","Air Filter","KNECHT","LX186","https://www.airfilter-crossreference.com/convert/MANN/C1230"
"EA51230","C1230","Air Filter","MAHLE","LX186","https://www.airfilter-crossreference.com/convert/MANN/C1230"
"EA51236","C1236","Air Filter","HIFI-FILTER","SA006","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","CLEAN","MA199S","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","CROSLAND","798","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","FIAAM","FL6332","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","FRAM","CA2616","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","IMPREFIL","IA1547","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","LAUTRETTE","EL1275","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","LAUTRETTE","EL697","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","MAHLE","AG37","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","MAHLE","CD1244","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","MAHLE","LX132","https://www.airfilter-crossreference.com/convert/MANN/C1236"
