elimfilters_sku,source_sku,segment,oem_count,oem_brand,oem_code,recovery_score,recovery_tier
EA50012,C10012,Air Filter,0,,,0,TIER_E
EA51006,C1006,Air Filter,0,,,0,TIER_E
EA51057,C1057,Air Filter,0,,,0,TIER_E
EA51040,C11040,Air Filter,1,RENNER KOMPRESSOREN,01693,20,TIER_D
EA51110,C1110,Air Filter,0,,,0,TIER_E
EA51002,C11100/2,Air Filter,0,,,0,TIER_E
EA51021,C11102/1,Air Filter,0,,,0,TIER_E
EA51113,C1113,Air Filter,0,,,0,TIER_E
EA51145,C1145,Air Filter,0,,,0,TIER_E
EA51454,C1145/4,Air Filter,0,,,0,TIER_E
EA51455,C1145/5,Air Filter,0,,,0,TIER_E
EA51149,C1149,Air Filter,0,,,0,TIER_E
EA51151,C1151,Air Filter,0,,,0,TIER_E
EA51154,C1154,Air Filter,0,,,0,TIER_E
EA51170,C1170,Air Filter,0,,,0,TIER_E
EA51185,C1185,Air Filter,0,,,0,TIER_E
EA52014,C12014,Air Filter,0,,,0,TIER_E
EA52148,C12148,Air Filter,0,,,0,TIER_E
EA51219,C1219,Air Filter,0,,,0,TIER_E
EA51230,C1230,Air Filter,0,,,0,TIER_E
EA51236,C1236,Air Filter,0,,,0,TIER_E
EA51243,C1243,Air Filter,0,,,0,TIER_E
EA51257,C1257,Air Filter,0,,,0,TIER_E
EA53008,C13008X,Air Filter,2,CUMMINS,4071693,20,TIER_D
EA53008,C13008X,Air Filter,2,CUMMINS,0140-4088,20,TIER_D
EA53010,C13010,Air Filter,0,,,0,TIER_E
EA51032,C13103/2,Air Filter,0,,,0,TIER_E
EA51143,C13114/3,Air Filter,0,,,0,TIER_E
EA53135,C13135,Air Filter,0,,,0,TIER_E
EA51359,C131359,Air Filter,0,,,0,TIER_E
EA53137,C13137,Air Filter,0,,,0,TIER_E
EA51328,C1328,Air Filter,0,,,0,TIER_E
EA53371,C1337/1,Air Filter,0,,,0,TIER_E
EA53372,C1337/2,Air Filter,0,,,0,TIER_E
EA51338,C1338,Air Filter,0,,,0,TIER_E
EA51349,C1349,Air Filter,0,,,0,TIER_E
EA51354,C1354,Air Filter,0,,,0,TIER_E
EA51355,C1355,Air Filter,0,,,0,TIER_E
EA51357,C1357,Air Filter,0,,,0,TIER_E
EA53571,C1357/1,Air Filter,0,,,0,TIER_E
EA51358,C1358,Air Filter,0,,,0,TIER_E
EA53621,C1362/1,Air Filter,0,,,0,TIER_E
EA51365,C1365,Air Filter,0,,,0,TIER_E
EA53741,C1374/1,Air Filter,0,,,0,TIER_E
EA51376,C1376,Air Filter,0,,,0,TIER_E
EA51381,C138/1,Air Filter,0,,,0,TIER_E
EA51392,C1392,Air Filter,4,RAMMAX,9450965001,40,TIER_C
EA51392,C1392,Air Filter,4,RAMMAX,5410612,40,TIER_C
EA51392,C1392,Air Filter,4,RAMMAX,140266905,40,TIER_C
EA51392,C1392,Air Filter,4,WACKER,0066108,40,TIER_C
EA53991,C1399/1,Air Filter,0,,,0,TIER_E
EA50061,C14006/1,Air Filter,0,,,0,TIER_E
EA54019,C14019,Air Filter,0,,,0,TIER_E
EA54021,C14021,Air Filter,0,,,0,TIER_E
EA54031,C14031,Air Filter,2,GENERAL MOTORS,15153904,20,TIER_D
EA54031,C14031,Air Filter,2,GMC,15153904,20,TIER_D
EA51410,C1410,Air Filter,0,,,0,TIER_E
EA54110,C14110,Air Filter,0,,,0,TIER_E
EA54117,C14117,Air Filter,0,,,0,TIER_E
EA51415,C1415,Air Filter,0,,,0,TIER_E
EA51591,C14159/1,Air Filter,0,,,0,TIER_E
EA51423,C1423,Air Filter,0,,,0,TIER_E
EA53200,C1423/200,Air Filter,0,,,0,TIER_E
EA51424,C1424,Air Filter,0,,,0,TIER_E
EA54250,C14250,Air Filter,0,,,0,TIER_E
EA51426,C1426,Air Filter,0,,,0,TIER_E
EA51429,C1429,Air Filter,0,,,0,TIER_E
EA51465,C1465,Air Filter,0,,,0,TIER_E
EA54681,C1468/1,Air Filter,0,,,0,TIER_E
EA51470,C1470,Air Filter,0,,,0,TIER_E
EA51476,C1476,Air Filter,0,,,0,TIER_E
EA50149,C149,Air Filter,0,,,0,TIER_E
EA55010,C15010M,Air Filter,0,,,0,TIER_E
EA55014,C15014,Air Filter,0,,,0,TIER_E
EA50151,C151,Air Filter,0,,,0,TIER_E
EA55102,C15102,Air Filter,0,,,0,TIER_E
EA55105,C15105,Air Filter,0,,,0,TIER_E
EA51202,C15120/2,Air Filter,0,,,0,TIER_E
EA55124,C15124,Air Filter,0,,,0,TIER_E
EA51242,C15124/2,Air Filter,1,HAKO,90180340,20,TIER_D
EA51243,C15124/3,Air Filter,0,,,0,TIER_E
EA51245,C15124/5,Air Filter,0,,,0,TIER_E
