elimfilters_sku,source_sku,segment,oem_count,oem_brand,oem_code,recovery_score,recovery_tier
EA54490,C24490,Air Filter,9,AGCO,116079W1,80,TIER_A
EA54490,C24490,Air Filter,9,CATERPILLAR,3I-1550,80,TIER_A
EA54490,C24490,Air Filter,9,FORD USA,F3HZ-960-1A,80,TIER_A
EA54490,C24490,Air Filter,9,GENERAL MOTORS,15696545,80,TIER_A
EA54490,C24490,Air Filter,9,GMC,15696245,80,TIER_A
EA54490,C24490,Air Filter,9,HINO,178013430A,80,TIER_A
EA54490,C24490,Air Filter,9,HINO,178013440,80,TIER_A
EA54490,C24490,Air Filter,9,HINO,178013440A,80,TIER_A
EA54490,C24490,Air Filter,9,JOHN DEERE,RE67124,80,TIER_A
EF59111,WK9111,Fuel Filter,7,CATERPILLAR,3I-0755,80,TIER_A
EF59111,WK9111,Fuel Filter,7,CATERPILLAR,3I-1219,80,TIER_A
EF59111,WK9111,Fuel Filter,7,CATERPILLAR,9Y-4419,80,TIER_A
EF59111,WK9111,Fuel Filter,7,GENERAL MOTORS (GM),23518526,80,TIER_A
EF59111,WK9111,Fuel Filter,7,GENERAL MOTORS (GM),23518669,80,TIER_A
EF59111,WK9111,Fuel Filter,7,GENERAL MOTORS (GM),25010256,80,TIER_A
EF59111,WK9111,Fuel Filter,7,GENERAL MOTORS (GM),25010959,80,TIER_A
EA56122,C26122,Air Filter,6,CATERPILLAR,3I-0005,60,TIER_B
EA56122,C26122,Air Filter,6,CUMMINS,3912986,60,TIER_B
EA56122,C26122,Air Filter,6,FORD,9576B105006,60,TIER_B
EA56122,C26122,Air Filter,6,JOHN DEERE,RE47573,60,TIER_B
EA56122,C26122,Air Filter,6,LEROI,438671,60,TIER_B
EA56122,C26122,Air Filter,6,SAAB,1394527,60,TIER_B
EA50375,C30375,Air Filter,6,BECKER,84040215000,60,TIER_B
EA50375,C30375,Air Filter,6,BECKER,84040315000,60,TIER_B
EA50375,C30375,Air Filter,6,DEMAG (COMPAIR),295 043 06,60,TIER_B
EA50375,C30375,Air Filter,6,DEMAG (COMPAIR),432 629 00,60,TIER_B
EA50375,C30375,Air Filter,6,RIETSCHLE,730 520,60,TIER_B
EA50375,C30375,Air Filter,6,SULLAIR,4058,60,TIER_B
EA58120,C18120,Air Filter,5,BECKER-KOMPRESSOREN,84040210000,60,TIER_B
EA58120,C18120,Air Filter,5,DEUTZ AG / DEUTZ-FAHR (KHD),129 3913,60,TIER_B
EA58120,C18120,Air Filter,5,INGERSOLL-RAND,39900128,60,TIER_B
EA58120,C18120,Air Filter,5,SULLAIR,39900128,60,TIER_B
EA58120,C18120,Air Filter,5,VOLVO (TRUCKS/VCE/VME/PENTA),6611700,60,TIER_B
EA52063,C22063,Air Filter,5,BAUDOUIN,16061230J,60,TIER_B
EA52063,C22063,Air Filter,5,CATERPILLAR,3I0001,60,TIER_B
EA52063,C22063,Air Filter,5,CUMMINS,3905326,60,TIER_B
EA52063,C22063,Air Filter,5,INGERSOLL-RAND,39824115,60,TIER_B
EA52063,C22063,Air Filter,5,ONAN,1402660,60,TIER_B
EA53513,C23513,Air Filter,5,COMPAIR,10000/9925,60,TIER_B
EA53513,C23513,Air Filter,5,COMPAIR,100013009,60,TIER_B
EA53513,C23513,Air Filter,5,COMPAIR,ZS1088229,60,TIER_B
EA53513,C23513,Air Filter,5,MACO-MEUDON,685 62431,60,TIER_B
EA53513,C23513,Air Filter,5,SULLAIR,68562431,60,TIER_B
EA57111,C711/1,Air Filter,5,BAUER,N00070,60,TIER_B
EA57111,C711/1,Air Filter,5,HEINKEL,407753049,60,TIER_B
EA57111,C711/1,Air Filter,5,MAN,81.54102-0001,60,TIER_B
EA57111,C711/1,Air Filter,5,ORENSTEIN + KOPPEL (O+K),002 9305,60,TIER_B
EA57111,C711/1,Air Filter,5,STEYR-DAIMLER-PUCH,367.11.52.402,60,TIER_B
