sku,od,h,god,gid,thread,burst,collapse,sub,inst,ft
EA10006,327.30,604.00,,,,,,Cellulose,Round,air
EA10012,87.00,358.00,,,,,,,Round,air
EA10014,180.09,218.95,,,,,,Cellulose,Round,air
EA10017,194.06,145.03,,,,,,Cellulose,Round,air
EA10018,55.00,238.00,,,,,,,Round,air
EA10020,185.93,124.97,,,,,,Cellulose,Round,air
EA10021,154.94,197.10,,,,,,Cellulose,Round,air
EA10024,64.00,302.00,,,,,,,Round,air
EA10028,134.00,280.00,,,,,,Cellulose,Round,air
EA10030,75.80,339.50,,,,,,,Round,air
EA10036,107.00,385.00,,,,,,,Round,air
EA10043,106.00,363.00,,,,,,Cellulose,Radialseal,air
EA10047,62.00,343.00,,,,,,,Radialseal,air
EA10048,120.00,132.00,,,,,,Cellulose,Round,air
EA10056,184.00,101.00,,,,,,Cellulose,Round,air
EA10063,,281.94,,,,,,,Panel,air
EA10064,154.00,151.00,,,,,,Cellulose,Round,air
EA10083,126.50,169.00,,,,,,Cellulose,Round,air
EA10096,83.10,237.00,,,,,,,Round,air
EA10103,187.00,381.00,,,,,,Cellulose,Round,air
EA10109,,300.00,,,,,,Cellulose,Panel,air
EA10120,155.00,190.00,,,,,,Cellulose,Round,air
EA10125,218.95,144.02,,,,,,Cellulose,Round,air
EA101280,175.00,406.00,,,,,,Cellulose,Radialseal,air
EA10131,127.00,285.00,,,,,,Cellulose,Round,air
EA10132,198.30,365.50,,,,,,Cellulose,Round,air
EA10135,,396.70,,,,,,Cellulose,Panel,air
EA10138,,220.00,,,,,,Cellulose,Panel,air
EA10149,115.00,602.00,,,,,,Cellulose,Special,air
EA10164,,229.00,,,,,,,Special,air
EA10181,70.10,254.51,,,,,,,Round,air
EA10203,,303.00,,,,,,,Panel,air
EA10207,70.00,308.00,,,,,,,Round,air
EA10272,159.00,256.00,,,,,,Cellulose,Round,air
EA10307,60.50,325.00,,,,,,,Round,air
EA10310,194.30,280.50,,,,,,Cellulose,Round,air
EA10331,282.00,405.00,,,,,,Cellulose,Radialseal,air
EA10332,213.00,229.00,,,,,,Cellulose,Round,air
EA10333,133.00,152.00,,,,,,Cellulose,Round,air
EA10336,307.00,508.00,,,,,,Cellulose,Round,air
EA10338,490.00,328.00,,,,,,Cellulose,Round,air
EA10355,203.00,236.00,,,,,,,Round,air
EA10385,201.70,251.30,,,,,,Cellulose,Round,air
EA10388,332.40,405.00,,,,,,Cellulose,Radialseal,air
EA10397,148.08,315.47,,,,,,Cellulose,Cone,air
EA10398,92.46,282.96,,,,,,,Round,air
EA10484,106.89,369.57,,,,,,,Round,air
EA10485,200.00,283.00,,,,,,,Round,air
EA10489,88.00,305.30,,,,,,,Radialseal,air
EA10496,306.30,517.30,,,,,,Cellulose,Radialseal,air
EA10497,182.50,505.70,,,,,,Safety,Radialseal,air
EA10501,138.20,326.90,,,,,,Cellulose,Radialseal,air
EA10510,134.90,273.10,,,,,,,Round,air
EA10511,53.34,260.35,,,,,,,Round,air
EA10519,270.50,570.00,,,,,,Cellulose,Round,air
EA10522,186.30,387.50,,,,,,Cellulose,Radialseal,air
EA10523,108.50,376.70,,,,,,,Radialseal,air
EA10561,,276.10,,,,,,,Panel,air
EA10582,194.06,508.00,,,,,,Safety,Round,air
EA10620,264.30,660.40,,,,,,Cellulose,Round,air
EA10621,313.40,543.50,,,,,,Cellulose,Radialseal,air
EA10622,313.40,450.50,,,,,,Cellulose,Radialseal,air
EA10623,180.00,528.50,,,,,,,Radialseal,air
EA10628,175.30,55.90,,,,,,Cellulose,Round,air
EA10633,111.51,39.62,,,,,,,Round,air
EA10635,177.30,46.70,,,,,,,Round,air
EA10639,175.80,64.80,,,,,,,Round,air
EA10642,203.20,55.10,,,,,,,Round,air
EA10643,98.00,79.00,,,,,,,Round,air
EA10645,97.03,70.10,,,,,,,Round,air
EA106488,108.00,122.00,,,,,,,Round,air
EA10676,237.00,636.00,,,,,,Cellulose,Radialseal,air
EA10678,151.10,381.00,,,,,,Safety,Round,air
EA10692,220.10,711.20,,,,,,Cellulose,Cone,air
EA10693,220.00,712.00,,,,,,Cellulose,Cone,air
EA10694,264.16,711.20,,,,,,Cellulose,Cone,air
EA10695,269.80,711.70,,,,,,Cellulose,Cone,air
EA10696,144.40,378.00,,,,,,,Round,air
EA10731,303.70,319.50,,,,,,Cellulose,Radialseal,air
EA10735,85.34,228.60,,,,,,,Round,air
EA10747,201.42,406.40,,,,,,Cellulose,Round,air
EA10753,,288.00,,,,,,,,air
EA10760,133.20,304.80,,,,,,Cellulose,Finned,air
EA10761,133.20,304.80,,,,,,Flame Retardant,Finned,air
EA10763,174.00,254.00,,,,,,Flame Retardant,Finned,air
EA10764,201.10,304.80,,,,,,Cellulose,Round,air
EA10766,154.80,304.80,,,,,,Cellulose,Round,air
EA10769,104.00,177.80,,,,,,Safety,Round,air
EA10770,234.19,330.20,,,,,,Cellulose,Finned,air
EA10772,151.10,457.20,,,,,,Safety,Round,air
EA10776,75.18,279.40,,,,,,,Round,air
EA10815,258.00,528.50,,,,,,Cellulose,Round,air
EA10822,220.00,711.00,,,,,,Cellulose,Cone,air
EA10828,155.00,328.00,,,,,,Cellulose,Round,air
EA10834,420.00,305.00,,,,,,Cellulose,Round,air
EA10848,420.00,250.00,,,,,,Cellulose,Round,air
EA10866,324.00,609.00,,,,,,Cellulose,Cone,air
EA108665,,319.50,,,,,,Cellulose,Obround,air
EA108666,,331.70,,,,,,Cellulose,Obround,air
EA108675,,319.50,,,,,,Cellulose,Obround,air
EA108676,,331.70,,,,,,Cellulose,Obround,air
EA108677,,382.80,,,,,,Cellulose,Obround,air
EA10875,235.30,159.40,,,,,,Cellulose,Round,air
EA10884,224.54,355.60,,,,,,Cellulose,Round,air
EA10903,138.20,272.00,,,,,,,Radialseal,air
EA10904,84.40,264.60,,,,,,,Radialseal,air
EA10905,138.00,272.00,,,,,,,Radialseal,air
EA10911,281.60,467.00,,,,,,Cellulose,Radialseal,air
EA10925,186.00,584.20,,,,,,Cellulose,Round,air
EA10941,,277.00,,,,,,"Cellulose, Treated",Obround,air
EA10942,,252.80,,,,,,"Cellulose, Flame Retardant",Obround,air
EA10949,60.60,209.80,,,,,,,Round,air
EA10959,219.96,381.00,,,,,,Cellulose,Cone,air
EA10960,85.34,329.54,,,,,,,Round,air
EA10975,,209.30,,,,,,Safety,Obround,air
EA11000,281.80,304.80,,,,,,Cellulose,Finned,air
