timestamp,sensor_id,machine_id,metric_type,metric_value,unit
2026-07-17T02:45:45.403191,SNS-101,EQP-BLD-01,temperature,69.85,C
2026-07-17T03:05:45.403191,SNS-102,EQP-PMP-02,vibration,2.63,mm/s
2026-07-17T03:25:45.403191,SNS-201,EQP-CMP-01,energy,109.42,kWh
2026-07-17T03:45:45.403191,SNS-301,EQP-BLD-01,temperature,67.59,C
2026-07-17T04:05:45.403191,SNS-101,EQP-PMP-02,vibration,2.37,mm/s
2026-07-17T04:25:45.403191,SNS-102,EQP-CMP-01,energy,122.59,kWh
2026-07-17T04:45:45.403191,SNS-201,EQP-BLD-01,temperature,60.43,C
2026-07-17T05:05:45.403191,SNS-301,EQP-PMP-02,vibration,2.12,mm/s
2026-07-17T05:25:45.403191,SNS-101,EQP-CMP-01,energy,112.53,kWh
2026-07-17T05:45:45.403191,SNS-102,EQP-BLD-01,temperature,66.04,C
2026-07-17T06:05:45.403191,SNS-201,EQP-PMP-02,vibration,2.59,mm/s
2026-07-17T06:25:45.403191,SNS-301,EQP-CMP-01,energy,108.61,kWh
2026-07-17T06:45:45.403191,SNS-101,EQP-BLD-01,temperature,65.67,C
2026-07-17T07:05:45.403191,SNS-102,EQP-PMP-02,vibration,2.25,mm/s
2026-07-17T07:25:45.403191,SNS-201,EQP-CMP-01,energy,126.36,kWh
2026-07-17T07:45:45.403191,SNS-301,EQP-BLD-01,temperature,68.24,C
2026-07-17T08:05:45.403191,SNS-101,EQP-PMP-02,vibration,2.91,mm/s
2026-07-17T08:25:45.403191,SNS-102,EQP-CMP-01,energy,111.46,kWh
2026-07-17T08:45:45.403191,SNS-201,EQP-BLD-01,temperature,71.74,C
2026-07-17T09:05:45.403191,SNS-301,EQP-PMP-02,vibration,2.66,mm/s
2026-07-17T09:25:45.403191,SNS-101,EQP-CMP-01,energy,131.96,kWh
2026-07-17T09:45:45.403191,SNS-102,EQP-BLD-01,temperature,59.81,C
2026-07-17T10:05:45.403191,SNS-201,EQP-PMP-02,vibration,2.55,mm/s
2026-07-17T10:25:45.403191,SNS-301,EQP-CMP-01,energy,109.22,kWh
2026-07-17T10:45:45.403191,SNS-101,EQP-BLD-01,temperature,68.66,C
2026-07-17T11:05:45.403191,SNS-102,EQP-PMP-02,vibration,2.84,mm/s
2026-07-17T11:25:45.403191,SNS-201,EQP-CMP-01,energy,112.81,kWh
2026-07-17T11:45:45.403191,SNS-301,EQP-BLD-01,temperature,67.89,C
2026-07-17T12:05:45.403191,SNS-101,EQP-PMP-02,vibration,2.87,mm/s
2026-07-17T12:25:45.403191,SNS-102,EQP-CMP-01,energy,131.61,kWh
2026-07-17T12:45:45.403191,SNS-201,EQP-BLD-01,temperature,58.73,C
2026-07-17T13:05:45.403191,SNS-301,EQP-PMP-02,vibration,3.04,mm/s
2026-07-17T13:25:45.403191,SNS-101,EQP-CMP-01,energy,130.73,kWh
2026-07-17T13:45:45.403191,SNS-102,EQP-BLD-01,temperature,59.25,C
2026-07-17T14:05:45.403191,SNS-201,EQP-PMP-02,vibration,2.36,mm/s
2026-07-17T14:25:45.403191,SNS-301,EQP-CMP-01,energy,115.44,kWh
2026-07-17T14:45:45.403191,SNS-101,EQP-BLD-01,temperature,59.13,C
2026-07-17T15:05:45.403191,SNS-102,EQP-PMP-02,vibration,3.07,mm/s
2026-07-17T15:25:45.403191,SNS-201,EQP-CMP-01,energy,123.05,kWh
2026-07-17T15:45:45.403191,SNS-301,EQP-BLD-01,temperature,63.57,C
2026-07-17T16:05:45.403191,SNS-101,EQP-PMP-02,vibration,2.65,mm/s
2026-07-17T16:25:45.403191,SNS-102,EQP-CMP-01,energy,130.78,kWh
2026-07-17T16:45:45.403191,SNS-201,EQP-BLD-01,temperature,68.57,C
2026-07-17T17:05:45.403191,SNS-301,EQP-PMP-02,vibration,2.53,mm/s
2026-07-17T17:25:45.403191,SNS-101,EQP-CMP-01,energy,126.06,kWh
2026-07-17T17:45:45.403191,SNS-102,EQP-BLD-01,temperature,71.95,C
2026-07-17T18:05:45.403191,SNS-201,EQP-PMP-02,vibration,2.33,mm/s
2026-07-17T18:25:45.403191,SNS-301,EQP-CMP-01,energy,127.44,kWh
2026-07-17T18:45:45.403191,SNS-101,EQP-BLD-01,temperature,58.99,C
2026-07-17T19:05:45.403191,SNS-102,EQP-PMP-02,vibration,2.01,mm/s
2026-07-17T19:25:45.403191,SNS-201,EQP-CMP-01,energy,122.5,kWh
2026-07-17T19:45:45.403191,SNS-301,EQP-BLD-01,temperature,58.76,C
2026-07-17T20:05:45.403191,SNS-101,EQP-PMP-02,vibration,2.35,mm/s
2026-07-17T20:25:45.403191,SNS-102,EQP-CMP-01,energy,128.77,kWh
2026-07-17T20:45:45.403191,SNS-201,EQP-BLD-01,temperature,58.18,C
2026-07-17T21:05:45.403191,SNS-301,EQP-PMP-02,vibration,2.05,mm/s
2026-07-17T21:25:45.403191,SNS-101,EQP-CMP-01,energy,128.24,kWh
2026-07-17T21:45:45.403191,SNS-102,EQP-BLD-01,temperature,67.6,C
2026-07-17T22:05:45.403191,SNS-201,EQP-PMP-02,vibration,1.96,mm/s
2026-07-17T22:25:45.403191,SNS-301,EQP-CMP-01,energy,124.07,kWh
2026-07-17T22:45:45.403191,SNS-101,EQP-BLD-01,temperature,67.86,C
2026-07-17T23:05:45.403191,SNS-102,EQP-PMP-02,vibration,2.24,mm/s
2026-07-17T23:25:45.403191,SNS-201,EQP-CMP-01,energy,122.43,kWh
2026-07-17T23:45:45.403191,SNS-301,EQP-BLD-01,temperature,67.73,C
2026-07-18T00:05:45.403191,SNS-101,EQP-PMP-02,vibration,2.2,mm/s
2026-07-18T00:25:45.403191,SNS-102,EQP-CMP-01,energy,108.67,kWh
2026-07-18T00:45:45.403191,SNS-201,EQP-BLD-01,temperature,70.59,C
2026-07-18T01:05:45.403191,SNS-301,EQP-PMP-02,vibration,2.06,mm/s
2026-07-18T01:25:45.403191,SNS-101,EQP-CMP-01,energy,130.46,kWh
2026-07-18T01:45:45.403191,SNS-102,EQP-BLD-01,temperature,66.7,C
2026-07-18T02:05:45.403191,SNS-201,EQP-PMP-02,vibration,2.69,mm/s
2026-07-18T02:25:45.403191,SNS-301,EQP-CMP-01,energy,115.31,kWh
2026-07-18T02:45:45.403191,SNS-101,EQP-BLD-01,temperature,69.62,C
2026-07-18T03:05:45.403191,SNS-102,EQP-PMP-02,vibration,3.02,mm/s
2026-07-18T03:25:45.403191,SNS-201,EQP-CMP-01,energy,121.0,kWh
2026-07-18T03:45:45.403191,SNS-301,EQP-BLD-01,temperature,68.33,C
2026-07-18T04:05:45.403191,SNS-101,EQP-PMP-02,vibration,3.06,mm/s
