donaldson_code,elimfilters_sku,duty,type,micron,efficiency,media_type,tecnologia,oem_codes,equipment,alternative_products
DBL0832,EL80832,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL3998,EL83998,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL4560,EL84560,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7300,EL87300,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7345,EL87345,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7349,EL87349,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7367,EL87367,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7405,EL87405,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7483,EL87483,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7505,EL87505,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7670,EL87670,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7739,EL87739,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7900,EL87900,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
DBL7947,EL87947,HD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502007,EL82007,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502008,EL82008,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502009,EL82009,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502015,EL82015,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502016,EL82016,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502017,EL82017,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502019,EL82019,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502020,EL82020,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502022,EL82022,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502024,EL82024,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502039,EL82039,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502042,EL82042,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502043,EL82043,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502049,EL82049,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502051,EL82051,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502057,EL82057,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502058,EL82058,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502060,EL82060,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502061,EL82061,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502063,EL82063,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502067,EL82067,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502069,EL82069,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502072,EL82072,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502076,EL82076,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
P502083,EL82083,LD,"LUBE FILTER, SPIN-ON FULL FLOW",,,,SYNTRAX™,,,
