"elimfilters_sku","source_sku","segment","spec_key","spec_value","source_url"
"EA51151","C1151","Air Filter","Height","239 mm","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","Outer diameter","114 mm","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","Inner diameter","76 mm","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","Inner diameter 1","76 mm","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51357","C1357","Air Filter","Height","174 mm","https://www.airfilter-crossreference.com/convert/MANN/C1357"
"EA51357","C1357","Air Filter","Outer diameter","129 mm","https://www.airfilter-crossreference.com/convert/MANN/C1357"
"EA51357","C1357","Air Filter","Inner diameter","82 mm","https://www.airfilter-crossreference.com/convert/MANN/C1357"
"EA51357","C1357","Air Filter","Inner diameter 1","82 mm","https://www.airfilter-crossreference.com/convert/MANN/C1357"
"EA51376","C1376","Air Filter","Height","232 mm","https://www.airfilter-crossreference.com/convert/MANN/C1376"
"EA51376","C1376","Air Filter","Outer diameter","127 mm","https://www.airfilter-crossreference.com/convert/MANN/C1376"
"EA51376","C1376","Air Filter","Inner diameter","85 mm","https://www.airfilter-crossreference.com/convert/MANN/C1376"
"EA51376","C1376","Air Filter","Inner diameter 1","85 mm","https://www.airfilter-crossreference.com/convert/MANN/C1376"
"EA54117","C14117","Air Filter","Height","171 mm","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","Outer diameter","132 mm","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","Inner diameter","65 mm","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","Inner diameter 1","12 mm","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA51415","C1415","Air Filter","Height","50 mm","https://www.airfilter-crossreference.com/convert/MANN/C1415"
"EA51415","C1415","Air Filter","Outer diameter","131 mm","https://www.airfilter-crossreference.com/convert/MANN/C1415"
"EA51415","C1415","Air Filter","Inner diameter","85 mm","https://www.airfilter-crossreference.com/convert/MANN/C1415"
"EA51415","C1415","Air Filter","Inner diameter 1","85 mm","https://www.airfilter-crossreference.com/convert/MANN/C1415"
"EA51465","C1465","Air Filter","Height","155 mm","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","Outer diameter","135 mm","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","Inner diameter","85 mm","https://www.airfilter-crossreference.com/convert/MANN/C1465"
