"elimfilters_sku","source_sku","segment","make","model","engine_size","hp","kw","year","engine","source_url"
"EA51376","C1376","Air Filter","RENAULT","SUPER 5 (B/C40_) 1.4 Turbo (C405)","1397","120","88","1985-1990","1.4 Turbo (C405)","https://www.airfilter-crossreference.com/convert/MANN/C1376"
"EA51376","C1376","Air Filter","RENAULT","SUPER 5 Box (S40_) 1.4","1397","116","85","1985-1987","1.4","https://www.airfilter-crossreference.com/convert/MANN/C1376"
"EA54117","C14117","Air Filter","TOYOTA","HIACE II Box (LH5_, YH7_, LH7_, LH6_, YH6_, YH5_) 1.8","1812","79","58","1983-1989","1.8","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","TOYOTA","HIACE II Box (LH5_, YH7_, LH7_, LH6_, YH6_, YH5_) 2.0","1998","88","65","1984-1989","2.0","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","TOYOTA","HIACE II Wagon (LH7_, LH5_, LH6_, YH7_, YH6_, YH5_) 1.8 (H5G)","1812","79","58","1983-1989","1.8 (H5G)","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","TOYOTA","HIACE II Wagon (LH7_, LH5_, LH6_, YH7_, YH6_, YH5_) 2.0 (H5G)","1998","88","65","1985-1989","2.0 (H5G)","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA54117","C14117","Air Filter","TOYOTA","HIACE III Platform/Chassis (YH8_, LH8_) 1.8","1812","79","58","1987-1995","1.8","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA51465","C1465","Air Filter","FERRARI","456 GT/GTA 5.5 (F116)","5474","442","325","1993-2004","5.5 (F116)","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","WARTBURG","353 1.0","992","45","33","1966-1969","1.0","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","WARTBURG","353 1.0","992","50","37","1969-1975","1.0","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","WARTBURG","353 1.0 (353 W 000)","993","50","37","1975-1988","1.0 (353 W 000)","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","WARTBURG","353 Break 1.0","992","45","33","1967-1969","1.0","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","WARTBURG","353 Break 1.0","992","50","37","1969-1975","1.0","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA51465","C1465","Air Filter","WARTBURG","353 Break 1.0","993","50","37","1975-1989","1.0","https://www.airfilter-crossreference.com/convert/MANN/C1465"
"EA56122","C16122","Air Filter","MAZDA","B-SERIE (UF) 2.2 D","2184","64","47","1985-1996","2.2 D","https://www.airfilter-crossreference.com/convert/MANN/C16122"
"EA50005","C20005","Air Filter","CHERY","QQ 0.8","812","51","38","2004","0.8","https://www.airfilter-crossreference.com/convert/MANN/C20005"
"EA52323","C2323","Air Filter","AUTOBIANCHI","A 112 1.0 Abarth","1050","70","51","1974-1984","1.0 Abarth","https://www.airfilter-crossreference.com/convert/MANN/C2323"
"EA52323","C2323","Air Filter","AUTOBIANCHI","A 112 1.0 Abarth","982","58","43","1971-1975","1.0 Abarth","https://www.airfilter-crossreference.com/convert/MANN/C2323"
"EA52323","C2323","Air Filter","FIAT","PANDA (141A_) 950","965","48","35","1982-1983","950","https://www.airfilter-crossreference.com/convert/MANN/C2323"
"EA52323","C2323","Air Filter","FIAT","PANDA (141A_) 950 4x4","965","48","35","1983-1986","950 4x4","https://www.airfilter-crossreference.com/convert/MANN/C2323"
"EA52323","C2323","Air Filter","LANCIA","A 112 1.0 Abarth (A112B2/5)","1050","69","51","1978-1984","1.0 Abarth (A112B2/5)","https://www.airfilter-crossreference.com/convert/MANN/C2323"
"EA52659","C2659","Air Filter","HYUNDAI","PONY (X-1) 1.3","1299","68","50","1985-1989","1.3","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","HYUNDAI","PONY (X-1) 1.5","1468","72","53","1985-1989","1.5","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","HYUNDAI","PONY Saloon (X-1) 1.3","1299","68","50","1985-1989","1.3","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","HYUNDAI","PONY Saloon (X-1) 1.5","1468","72","53","1985-1989","1.5","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","HYUNDAI","PONY Saloon (X-1) 1.5","1468","69","51","1985-1989","1.5","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","GALANT I (A12_) 1.6","1597","75","55","1977-1980","1.6","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","GALANT I Break (A12_V) 1.6 GL (A121V)","1597","75","55","1979-1980","1.6 GL (A121V)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","GALANT II (A16_) 1.6 GLX (A161A)","1597","75","55","1980-1984","1.6 GLX (A161A)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","GALANT II Break (A16_V) 1.6 GLX (A161V)","1597","75","55","1980-1984","1.6 GLX (A161V)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","LANCER I (A17_) 1.2 (A171)","1244","54","40","1980-1981","1.2 (A171)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","LANCER I (A17_) 1.6 (A174)","1597","84","62","1981-1983","1.6 (A174)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","LANCER I (A17_) 1.6 (A174)","1597","82","60","1979-1983","1.6 (A174)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","LANCER IV Saloon (C6_A) 1.3 (C61A)","1299","60","44","1988-1992","1.3 (C61A)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","LANCER IV Saloon (C6_A) 1.3 (C61A)","1299","70","51","1988-1992","1.3 (C61A)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","LANCER IV Saloon (C6_A) 1.3 12V (C61A)","1299","75","55","1990-1992","1.3 12V (C61A)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","SAPPORO I (A12_) 1.6 SL,GL (A121)","1597","75","55","1978-1980","1.6 SL,GL (A121)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","SAPPORO I (A12_) 2.0 (A123)","1995","107","79","1979-1980","2.0 (A123)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","SAPPORO I (A12_) 2.0 (A123)","1995","90","66","1978-1980","2.0 (A123)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","SAPPORO I (A12_) 2.0 (A123)","1995","98","72","1978-1980","2.0 (A123)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","MITSUBISHI","SAPPORO II (A16_A) 1.6 GLX (A161A)","1597","75","55","1980-1984","1.6 GLX (A161A)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","PROTON","PERSONA 400 (C9_S) 1,3","1299","75","55","1994","1,3","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","PROTON","PERSONA 400 Hatchback (C9_C, C9_S) 1,3","1299","75","55","1994","1,3","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","RENAULT","16 (115_) 1.5","1470","55","40","1965-1975","1.5","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","RENAULT","16 (115_) 1.6 TA","1647","71","52","1969-1980","1.6 TA","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","RENAULT","16 (115_) 1.6 TL","1565","54","40","1975-1980","1.6 TL","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52659","C2659","Air Filter","RENAULT","16 (115_) 1.6 TL (1152, 1153, 1157)","1565","65","48","1971-1980","1.6 TL (1152, 1153, 1157)","https://www.airfilter-crossreference.com/convert/MANN/C2659"
"EA52675","C2675","Air Filter","FORD","CAPRI (ECJ) 2000","1996","93","69","1969-1974","2000","https://www.airfilter-crossreference.com/convert/MANN/C2675"
"EA52675","C2675","Air Filter","FORD","CAPRI (ECJ) 2000","1985","86","63","1969-1971","2000","https://www.airfilter-crossreference.com/convert/MANN/C2675"
"EA52675","C2675","Air Filter","FORD","CAPRI (ECJ) 2000","1998","90","66","1969-1974","2000","https://www.airfilter-crossreference.com/convert/MANN/C2675"
"EA52675","C2675","Air Filter","FORD","CAPRI (ECJ) 2300","2293","125","92","1969-1974","2300","https://www.airfilter-crossreference.com/convert/MANN/C2675"
"EA52675","C2675","Air Filter","FORD","CAPRI (ECJ) 2300","2293","108","79","1969-1974","2300","https://www.airfilter-crossreference.com/convert/MANN/C2675"
"EA52675","C2675","Air Filter","FORD","CAPRI (ECJ) 2600","2550","125","92","1970-1974","2600","https://www.airfilter-crossreference.com/convert/MANN/C2675"
