elimfilters_sku,source_sku,segment,oem_count
EA54490,C24490,Air Filter,9
EF59111,WK9111,Fuel Filter,7
EA56122,C26122,Air Filter,6
EA50375,C30375,Air Filter,6
EA58120,C18120,Air Filter,5
EA52063,C22063,Air Filter,5
EA53513,C23513,Air Filter,5
EA57111,C711/1,Air Filter,5
EA51392,C1392,Air Filter,4
EA53754,C573754,Air Filter,4
EF51006,PU11006Z,Fuel Filter,4
EF57009,PU7009Z,Fuel Filter,4
EL57016,W1170/16,Oil Filter,4
EA50940,C940,Air Filter,3
EL50217,WDK11102/17,Oil Filter,3
EF59625,WK962/5,Fuel Filter,3
EL59625,WP962/5,Oil Filter,3
EA53008,C13008X,Air Filter,2
EA54031,C14031,Air Filter,2
EA51020,C271020,Air Filter,2
EA59130,C29130,Air Filter,2
EA50262,C452026/2,Air Filter,2
EA52695,C452695,Air Filter,2
EA50712,C712,Air Filter,2
EL54511,W13145/11,Oil Filter,2
EL54026,WD940/26,Oil Filter,2
EL57192,WDK719/2,Oil Filter,2
EF51076,WK11076Z,Fuel Filter,2
EA51040,C11040,Air Filter,1
EA51242,C15124/2,Air Filter,1
EA52170,C2170,Air Filter,1
EA53092,C23092,Air Filter,1
EA56328,C26328,Air Filter,1
EA56550,C26550,Air Filter,1
EA58049,C28049,Air Filter,1
EA52473,C32473,Air Filter,1
EA51825,C331825,Air Filter,1
EA51460,C401460,Air Filter,1
EA50420,C420,Air Filter,1
EA52003,C42003,Air Filter,1
EA50901,C431090/1,Air Filter,1
EA54444,C454444,Air Filter,1
EA50048,C48,Air Filter,1
EA59003,C49003,Air Filter,1
EA50711,C711,Air Filter,1
EA50715,C715,Air Filter,1
EC53115,CF13115X,Cabin Filter,1
EC55005,CF15005,Cabin Filter,1
EC52001,CF42001,Cabin Filter,1
EC56001,CU36001,Cabin Filter,1
EC54001,CU54001,Cabin Filter,1
EC54110,CUD4110,Cabin Filter,1
EL51255,HU13125/5Z,Oil Filter,1
EF59041,PU9041Z,Fuel Filter,1
EL50245,W11102/45,Oil Filter,1
EL51509,W1150/9,Oil Filter,1
EL51708,W1170/8,Oil Filter,1
EL52008,W12008Z,Oil Filter,1
EL59093,W9093,Oil Filter,1
EL55024,W950/24,Oil Filter,1
EL51170,WDK1170,Oil Filter,1
EL51452,WDK13145/2,Oil Filter,1
EL54023,WDK940/23,Oil Filter,1
EL56211,WDK962/11,Oil Filter,1
EL56214,WDK962/14,Oil Filter,1
EF57124,WK712/4,Fuel Filter,1
EF58150,WK8150,Fuel Filter,1
EF58219,WK8219,Fuel Filter,1
EF50941,WK941,Fuel Filter,1
EF54110,WK941(10),Fuel Filter,1
EF59551,WK955/1,Fuel Filter,1
EA50012,C10012,Air Filter,0
EA51006,C1006,Air Filter,0
EA51057,C1057,Air Filter,0
EA51110,C1110,Air Filter,0
EA51002,C11100/2,Air Filter,0
EA51021,C11102/1,Air Filter,0
EA51113,C1113,Air Filter,0
EA51145,C1145,Air Filter,0
EA51454,C1145/4,Air Filter,0
EA51455,C1145/5,Air Filter,0
EA51149,C1149,Air Filter,0
EA51151,C1151,Air Filter,0
EA51154,C1154,Air Filter,0
EA51170,C1170,Air Filter,0
EA51185,C1185,Air Filter,0
EA52014,C12014,Air Filter,0
EA52148,C12148,Air Filter,0
EA51219,C1219,Air Filter,0
EA51230,C1230,Air Filter,0
EA51236,C1236,Air Filter,0
EA51243,C1243,Air Filter,0
EA51257,C1257,Air Filter,0
EA53010,C13010,Air Filter,0
EA51032,C13103/2,Air Filter,0
EA51143,C13114/3,Air Filter,0
EA53135,C13135,Air Filter,0
EA51359,C131359,Air Filter,0
EA53137,C13137,Air Filter,0
EA51328,C1328,Air Filter,0
