"elimfilters_sku","source_sku","segment","cross_reference_count","application_count","specification_count","unique_makes","coverage_score"
"EA50005","C20005","Air Filter","6","1","3","1","70"
"EA50010","C40010","Air Filter","41","0","0","0","40"
"EA50067","C67","Air Filter","3","0","4","0","35"
"EA50079","C79","Air Filter","4","0","0","0","15"
"EA50103","C30103","Air Filter","4","0","0","0","15"
"EA50148","CS60148","Air Filter","13","0","0","0","40"
"EA50149","C149","Air Filter","7","0","4","0","45"
"EA50151","C151","Air Filter","1","0","0","0","15"
"EA50153","C30153","Air Filter","15","0","0","0","40"
"EA50161","C20161","Air Filter","14","0","3","0","60"
"EA50280","C20280","Air Filter","9","0","5","0","45"
"EA50304","C304","Air Filter","1","0","0","0","15"
"EA50321","C291032/1","Air Filter","30","0","0","0","40"
"EA50322","C32/2","Air Filter","2","0","0","0","15"
"EA50334","C33(4)","Air Filter","4","0","0","0","15"
"EA50400","C30400","Air Filter","1","0","3","0","35"
"EA50410","C410","Air Filter","2","0","4","0","35"
"EA50411","C411","Air Filter","10","0","4","0","60"
"EA50431","C43/1","Air Filter","5","0","0","0","25"
"EA50551","C2055/1","Air Filter","2","0","0","0","15"
"EA50554","C55(4)","Air Filter","4","0","0","0","15"
"EA50654","C65/4","Air Filter","5","0","0","0","25"
"EA50710","C710","Air Filter","6","0","0","0","25"
"EA50792","C79/2","Air Filter","2","0","0","0","15"
"EA50814","C814","Air Filter","18","0","0","0","40"
"EA50821","C5082/1","Air Filter","26","0","0","0","40"
"EA50855","C20855","Air Filter","7","0","0","0","25"
"EA50873","C30873","Air Filter","5","0","4","0","45"
"EA50883","C30883","Air Filter","6","0","0","0","25"
"EA50905","C20905","Air Filter","5","0","0","0","25"
"EA50931","C311093/1","Air Filter","2","0","0","0","15"
"EA50946","C946","Air Filter","38","0","3","0","60"
"EA50957","C957","Air Filter","3","0","0","0","15"
"EA51008","C361008","Air Filter","6","0","0","0","25"
"EA51011","C21011","Air Filter","14","0","0","0","40"
"EA51014","CL1014","Air Filter","6","0","0","0","25"
"EA51027","C311027","Air Filter","4","0","0","0","15"
"EA51091","C34109/1","Air Filter","5","0","0","0","25"
"EA51093","C311093","Air Filter","15","0","0","0","40"
"EA51104","C21104","Air Filter","40","0","3","0","60"
"EA51109","C31109","Air Filter","4","0","3","0","35"
"EA51113","C1113","Air Filter","3","0","0","0","15"
"EA51116","CL1116","Air Filter","9","0","0","0","25"
"EA51118","CL1118","Air Filter","3","0","0","0","15"
"EA51121","CL1121","Air Filter","28","0","0","0","40"
"EA51130","CL1130","Air Filter","28","0","0","0","40"
