elimfilters_sku,source_sku,segment
EA50012,C10012,Air Filter
EA51006,C1006,Air Filter
EA51057,C1057,Air Filter
EA51040,C11040,Air Filter
EA51110,C1110,Air Filter
EA51002,C11100/2,Air Filter
EA51021,C11102/1,Air Filter
EA51113,C1113,Air Filter
EA51145,C1145,Air Filter
EA51454,C1145/4,Air Filter
EA51455,C1145/5,Air Filter
EA51149,C1149,Air Filter
EA51151,C1151,Air Filter
EA51154,C1154,Air Filter
EA51170,C1170,Air Filter
EA51185,C1185,Air Filter
EA52014,C12014,Air Filter
EA52148,C12148,Air Filter
EA51219,C1219,Air Filter
EA51230,C1230,Air Filter
EA51236,C1236,Air Filter
EA51243,C1243,Air Filter
EA51257,C1257,Air Filter
EA53008,C13008X,Air Filter
EA53010,C13010,Air Filter
EA51032,C13103/2,Air Filter
EA51143,C13114/3,Air Filter
EA53135,C13135,Air Filter
EA51359,C131359,Air Filter
EA53137,C13137,Air Filter
EA51328,C1328,Air Filter
EA53371,C1337/1,Air Filter
EA53372,C1337/2,Air Filter
EA51338,C1338,Air Filter
EA51349,C1349,Air Filter
EA51354,C1354,Air Filter
EA51355,C1355,Air Filter
EA51357,C1357,Air Filter
EA53571,C1357/1,Air Filter
EA51358,C1358,Air Filter
EA53621,C1362/1,Air Filter
EA51365,C1365,Air Filter
EA53741,C1374/1,Air Filter
EA51376,C1376,Air Filter
EA51381,C138/1,Air Filter
EA51392,C1392,Air Filter
EA53991,C1399/1,Air Filter
EA50061,C14006/1,Air Filter
EA54019,C14019,Air Filter
EA54021,C14021,Air Filter
EA54031,C14031,Air Filter
EA51410,C1410,Air Filter
EA54110,C14110,Air Filter
EA54117,C14117,Air Filter
EA51415,C1415,Air Filter
EA51591,C14159/1,Air Filter
EA51423,C1423,Air Filter
EA53200,C1423/200,Air Filter
EA51424,C1424,Air Filter
EA54250,C14250,Air Filter
EA51426,C1426,Air Filter
EA51429,C1429,Air Filter
EA51465,C1465,Air Filter
EA54681,C1468/1,Air Filter
EA51470,C1470,Air Filter
EA51476,C1476,Air Filter
EA50149,C149,Air Filter
EA55010,C15010M,Air Filter
EA55014,C15014,Air Filter
EA50151,C151,Air Filter
EA55102,C15102,Air Filter
EA55105,C15105,Air Filter
EA51202,C15120/2,Air Filter
EA55124,C15124,Air Filter
EA51242,C15124/2,Air Filter
EA51243,C15124/3,Air Filter
EA51245,C15124/5,Air Filter
EA55126,C15126,Air Filter
EA55135,C15135,Air Filter
EA55143,C15143,Air Filter
EA55163,C15163,Air Filter
EA51651,C15165/1,Air Filter
EA51519,C1519,Air Filter
EA55190,C15190,Air Filter
EA51523,C1523,Air Filter
EA55272,C15272,Air Filter
EA52721,C15272/1,Air Filter
EA55291,C1529/1,Air Filter
EA55293,C1529/3,Air Filter
EA53002,C15300/2,Air Filter
EA53004,C15300/4,Air Filter
EA51532,C1532,Air Filter
EA55321,C1532/1,Air Filter
EA55322,C1532/2,Air Filter
EA55403,C15403,Air Filter
EA55501,C1550/1,Air Filter
EA55503,C1550/3,Air Filter
EA55554,C1555/4,Air Filter
EA51562,C1562X,Air Filter
EA55891,C1589/1,Air Filter
EA51595,C1595,Air Filter
EA56005,C16005M,Air Filter
EA56017,C16017,Air Filter
EA51131,C16113/1,Air Filter
EA56122,C16122,Air Filter
EA56130,C16130,Air Filter
EA56134,C16134,Air Filter
EA56142,C16142,Air Filter
EA51421,C16142/1,Air Filter
EA56163,C16163,Air Filter
EA51901,C16190/1,Air Filter
EA56212,C16212,Air Filter
EA52121,C16212/1,Air Filter
EA52122,C16212/2,Air Filter
EA56214,C16214,Air Filter
EA56245,C16245,Air Filter
EA51632,C1632,Air Filter
EA54002,C16400/2,Air Filter
EA56410,C16410,Air Filter
EA51642,C1642,Air Filter
EA51645,C1645,Air Filter
EA51648,C1648,Air Filter
EA51672,C1672,Air Filter
EA56721,C1672/1,Air Filter
EA56722,C1672/2,Air Filter
EA56724,C1672/4,Air Filter
EA56727,C1672/7,Air Filter
EA57012,C17012,Air Filter
EA50122,C17012/2,Air Filter
EA50131,C17013/1,Air Filter
EA57021,C17021,Air Filter
EA50213,C17021/3,Air Filter
EA50231,C17023/1,Air Filter
EA57025,C17025,Air Filter
EA57028,C17028,Air Filter
EA57029,C17029,Air Filter
EA57125,C17125,Air Filter
EA51371,C17137/1N,Air Filter
EA57161,C17161,Air Filter
EA57177,C17177,Air Filter
EA51720,C1720,Air Filter
EA52012,C17201/2,Air Filter
EA52252,C17225/2,Air Filter
EA51725,C1725,Air Filter
EA57308,C17308,Air Filter
