"elimfilters_sku","source_sku","segment","ref_brand","ref_code","source_url"
"EA51151","C1151","Air Filter","PEUGEOT","1427C6","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51151","C1151","Air Filter","PEUGEOT","144411","https://www.airfilter-crossreference.com/convert/MANN/C1151"
"EA51185","C1185","Air Filter","VOLVO","7354867","https://www.airfilter-crossreference.com/convert/MANN/C1185"
"EA51236","C1236","Air Filter","PEUGEOT","144510","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","PEUGEOT","144550","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA51236","C1236","Air Filter","PEUGEOT","144552","https://www.airfilter-crossreference.com/convert/MANN/C1236"
"EA54117","C14117","Air Filter","TOYOTA","1780172010","https://www.airfilter-crossreference.com/convert/MANN/C14117"
"EA51591","C14159/1","Air Filter","PEUGEOT","25194900","https://www.airfilter-crossreference.com/convert/MANN/C14159/1"
"EA55163","C15163","Air Filter","TOYOTA","17801-54140","https://www.airfilter-crossreference.com/convert/MANN/C15163"
"EA51651","C15165/1","Air Filter","FIAT","9927846","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","FIAT","9985779","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","FORD","5011314","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","FORD","5011547","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","FORD","A830X9601BSA","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","FORD","A830X9601SA","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","GENERAL-MOTORS","9974133","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","MERCEDES-BENZ","0020943404","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
"EA51651","C15165/1","Air Filter","MERCEDES-BENZ","0030943204","https://www.airfilter-crossreference.com/convert/MANN/C15165/1"
