"elimfilters_sku","source_sku","segment","production_tier","missing_data_count","missing_components"
"EA50005","C10005","Air Filter","TIER_P5","1","Competitor"
"EA50007","C10007","Air Filter","TIER_P5","1","Competitor"
"EA50010","C10010","Air Filter","TIER_P5","1","Competitor"
"EA50011","C10011","Air Filter","TIER_P5","1","Competitor"
"EA50014","C10014","Air Filter","TIER_P5","1","Competitor"
"EA50015","C10015","Air Filter","TIER_P5","1","Competitor"
"EA50016","C10016","Air Filter","TIER_P5","1","Competitor"
"EA50504","C100504","Air Filter","TIER_P5","1","Competitor"
"EA51024","C1024","Air Filter","TIER_P5","1","Competitor"
"EA50361","C1036/1","Air Filter","TIER_P5","1","Competitor"
"EA50362","C1036/2","Air Filter","TIER_P5","1","Competitor"
"EA51041","C1041","Air Filter","TIER_P5","1","Competitor"
"EA50431","C1043/1","Air Filter","TIER_P5","1","Competitor"
"EA51049","C1049","Air Filter","TIER_P5","1","Competitor"
"EA50105","C105","Air Filter","TIER_P5","1","Competitor"
"EA51004","C11004","Air Filter","TIER_P5","1","Competitor"
"EA51007","C11007","Air Filter","TIER_P5","1","Competitor"
"EA51008","C11008","Air Filter","TIER_P5","1","Competitor"
"EA51020","C11020","Air Filter","TIER_P5","1","Competitor"
"EA51005","C111005","Air Filter","TIER_P5","1","Competitor"
"EA51103","C11103","Air Filter","TIER_P4","1","OEM"
"EA51112","C1112","Air Filter","TIER_P5","1","Competitor"
"EA51121","C1112/1","Air Filter","TIER_P5","1","Competitor"
"EA51122","C1112/2","Air Filter","TIER_P5","1","Competitor"
"EA51127","C1112/7","Air Filter","TIER_P5","1","Competitor"
"EA51120","C11120","Air Filter","TIER_P5","1","Competitor"
"EA51121","C1121","Air Filter","TIER_P5","1","Competitor"
"EA51131","C1131","Air Filter","TIER_P5","1","Competitor"
"EA51311","C1131/1","Air Filter","TIER_P5","1","Competitor"
"EA51132","C1132","Air Filter","TIER_P5","1","Competitor"
"EA51134","C1134","Air Filter","TIER_P5","1","Competitor"
"EA51341","C1134/1","Air Filter","TIER_P5","1","Competitor"
"EA51140","C1140","Air Filter","TIER_P5","1","Competitor"
"EA51456","C1145/6","Air Filter","TIER_P5","1","Competitor"
"EA51150","C1150","Air Filter","TIER_P5","1","Competitor"
"EA51151","C1151","Air Filter","TIER_P3","1","Applications"
"EA51157","C1157","Air Filter","TIER_P5","1","Competitor"
"EA51176","C1176","Air Filter","TIER_P5","1","Competitor"
"EA51763","C1176/3","Air Filter","TIER_P5","1","Competitor"
"EA51764","C1176/4","Air Filter","TIER_P5","1","Competitor"
"EA50118","C118","Air Filter","TIER_P5","1","Competitor"
"EA51184","C1184","Air Filter","TIER_P5","1","Competitor"
"EA51188","C1188","Air Filter","TIER_P4","1","OEM"
"EA51188","C1188X","Air Filter","TIER_P5","1","Competitor"
"EA51189","C1189","Air Filter","TIER_P5","1","Competitor"
"EA51196","C1196","Air Filter","TIER_P4","1","OEM"
"EA52003","C12003","Air Filter","TIER_P5","1","Competitor"
"EA52011","C12011","Air Filter","TIER_P5","1","Competitor"
"EA52100","C12100","Air Filter","TIER_P4","1","OEM"
"EA52104","C12104","Air Filter","TIER_P5","1","Competitor"
"EA52107","C12107","Air Filter","TIER_P5","1","Competitor"
"EA51071","C12107/1","Air Filter","TIER_P5","1","Competitor"
"EA51162","C12116/2","Air Filter","TIER_P5","1","Competitor"
"EA51213","C1213","Air Filter","TIER_P5","1","Competitor"
"EA52133","C12133","Air Filter","TIER_P5","1","Competitor"
"EA51331","C12133/1","Air Filter","TIER_P5","1","Competitor"
"EA52178","C12178","Air Filter","TIER_P5","1","Competitor"
"EA51781","C12178/1","Air Filter","TIER_P5","1","Competitor"
"EA51782","C12178/2","Air Filter","TIER_P5","1","Competitor"
"EA51233","C1233","Air Filter","TIER_P5","1","Competitor"
"EA51236","C1236","Air Filter","TIER_P3","1","Applications"
"EA51247","C1247","Air Filter","TIER_P5","1","Competitor"
"EA51250","C1250","Air Filter","TIER_P5","1","Competitor"
"EA52861","C1286/1","Air Filter","TIER_P5","1","Competitor"
"EA51287","C1287","Air Filter","TIER_P5","1","Competitor"
"EA53103","C13103","Air Filter","TIER_P5","1","Competitor"
"EA51031","C13103/1","Air Filter","TIER_P5","1","Competitor"
"EA53109","C13109","Air Filter","TIER_P5","1","Competitor"
"EA53114","C13114","Air Filter","TIER_P5","1","Competitor"
"EA51144","C13114/4","Air Filter","TIER_P5","1","Competitor"
"EA53131","C13131","Air Filter","TIER_P5","1","Competitor"
"EA53145","C13145","Air Filter","TIER_P4","1","OEM"
"EA51320","C1320","Air Filter","TIER_P5","1","Competitor"
"EA53240","C13240","Air Filter","TIER_P5","1","Competitor"
"EA51342","C1342","Air Filter","TIER_P4","1","OEM"
"EA51343","C1343","Air Filter","TIER_P5","1","Competitor"
"EA51344","C1344","Air Filter","TIER_P5","1","Competitor"
"EA51361","C1361","Air Filter","TIER_P5","1","Competitor"
"EA51362","C1362","Air Filter","TIER_P5","1","Competitor"
"EA51368","C1368","Air Filter","TIER_P5","1","Competitor"
"EA51369","C1369","Air Filter","TIER_P5","1","Competitor"
"EA51370","C1370","Air Filter","TIER_P5","1","Competitor"
"EA53742","C1374/2","Air Filter","TIER_P4","1","OEM"
"EA51376","C1376","Air Filter","TIER_P4","1","OEM"
"EA51380","C1380","Air Filter","TIER_P5","1","Competitor"
"EA53801","C1380/1","Air Filter","TIER_P5","1","Competitor"
"EA51381","C1381","Air Filter","TIER_P5","1","Competitor"
"EA51387","C1387","Air Filter","TIER_P5","1","Competitor"
"EA53941","C1394/1","Air Filter","TIER_P5","1","Competitor"
"EA51396","C1396","Air Filter","TIER_P5","1","Competitor"
"EA53992","C1399/2","Air Filter","TIER_P5","1","Competitor"
"EA53993","C1399/3","Air Filter","TIER_P5","1","Competitor"
"EA54004","C14004","Air Filter","TIER_P5","1","Competitor"
"EA54006","C14006","Air Filter","TIER_P5","1","Competitor"
"EA54011","C14011","Air Filter","TIER_P5","1","Competitor"
"EA54013","C14013","Air Filter","TIER_P4","1","OEM"
"EA54014","C14014","Air Filter","TIER_P5","1","Competitor"
"EA54018","C14018","Air Filter","TIER_P5","1","Competitor"
"EA54020","C14020X","Air Filter","TIER_P5","1","Competitor"
"EA54114","C14114","Air Filter","TIER_P5","1","Competitor"
"EA54115","C14115","Air Filter","TIER_P5","1","Competitor"
"EA51301","C14130/1","Air Filter","TIER_P5","1","Competitor"
"EA51381","C14138/1","Air Filter","TIER_P5","1","Competitor"
"EA54140","C14140","Air Filter","TIER_P5","1","Competitor"
"EA54153","C14153","Air Filter","TIER_P5","1","Competitor"
"EA54159","C14159","Air Filter","TIER_P5","1","Competitor"
"EA54160","C14160","Air Filter","TIER_P4","1","OEM"
"EA54160","C14160X","Air Filter","TIER_P5","1","Competitor"
"EA54168","C14168","Air Filter","TIER_P5","1","Competitor"
"EA51417","C1417","Air Filter","TIER_P5","1","Competitor"
"EA54176","C14176","Air Filter","TIER_P5","1","Competitor"
"EA54178","C14178","Air Filter","TIER_P5","1","Competitor"
"EA54179","C14179","Air Filter","TIER_P4","1","OEM"
"EA51791","C14179/1","Air Filter","TIER_P5","1","Competitor"
"EA51792","C14179/2","Air Filter","TIER_P5","1","Competitor"
"EA51794","C14179/4","Air Filter","TIER_P5","1","Competitor"
"EA52006","C142006","Air Filter","TIER_P5","1","Competitor"
"EA52021","C14202/1","Air Filter","TIER_P4","1","OEM"
"EA54230","C14230","Air Filter","TIER_P5","1","Competitor"
"EA51430","C1430","Air Filter","TIER_P5","1","Competitor"
"EA51440","C1440","Air Filter","TIER_P4","1","OEM"
"EA54401","C1440/1","Air Filter","TIER_P5","1","Competitor"
"EA51449","C1449","Air Filter","TIER_P5","1","Competitor"
"EA51450","C1450","Air Filter","TIER_P5","1","Competitor"
"EA51460","C1460","Air Filter","TIER_P5","1","Competitor"
"EA51465","C1465","Air Filter","TIER_P4","1","OEM"
"EA51468","C1468","Air Filter","TIER_P5","1","Competitor"
"EA51472","C1472","Air Filter","TIER_P5","1","Competitor"
"EA51480","C1480","Air Filter","TIER_P5","1","Competitor"
"EA55005","C15005","Air Filter","TIER_P5","1","Competitor"
"EA55007","C15007","Air Filter","TIER_P5","1","Competitor"
"EA55008","C15008","Air Filter","TIER_P5","1","Competitor"
"EA55010","C15010","Air Filter","TIER_P5","1","Competitor"
"EA55015","C15015","Air Filter","TIER_P5","1","Competitor"
"EA51051","C15105/1","Air Filter","TIER_P5","1","Competitor"
"EA55120","C15120","Air Filter","TIER_P5","1","Competitor"
"EA51241","C15124/1","Air Filter","TIER_P5","1","Competitor"
"EA51244","C15124/4","Air Filter","TIER_P5","1","Competitor"
