"elimfilters_sku","source_sku","segment","has_oem","has_competitor","has_applications","has_specifications","production_tier"
"EA50005","C10005","Air Filter","1","0","1","1","TIER_P5"
"EA50006","C10006","Air Filter","1","1","1","1","TIER_P1"
"EA50007","C10007","Air Filter","1","0","1","1","TIER_P5"
"EA50010","C10010","Air Filter","1","0","1","1","TIER_P5"
"EA50011","C10011","Air Filter","1","0","1","1","TIER_P5"
"EAC10012","C10012","Air Filter","0","0","0","0","TIER_P5"
"EA50014","C10014","Air Filter","1","0","1","1","TIER_P5"
"EA50015","C10015","Air Filter","1","0","1","1","TIER_P5"
"EA50016","C10016","Air Filter","1","0","1","1","TIER_P5"
"EA50050","C10050","Air Filter","1","1","1","1","TIER_P1"
"EA50504","C100504","Air Filter","1","0","1","1","TIER_P5"
"EAC1006","C1006","Air Filter","0","0","0","0","TIER_P5"
"EA51014","C1014","Air Filter","0","0","1","1","TIER_P5"
"EA51015","C1015","Air Filter","0","0","1","1","TIER_P5"
"EA51024","C1024","Air Filter","1","0","1","1","TIER_P5"
"EA50361","C1036/1","Air Filter","1","0","1","1","TIER_P5"
"EA50362","C1036/2","Air Filter","1","0","1","1","TIER_P5"
"EA51041","C1041","Air Filter","1","0","1","1","TIER_P5"
"EA50431","C1043/1","Air Filter","1","0","1","1","TIER_P5"
"EA51049","C1049","Air Filter","1","0","1","1","TIER_P5"
"EA50105","C105","Air Filter","1","0","1","1","TIER_P5"
"EAC1057","C1057","Air Filter","0","0","0","0","TIER_P5"
"EA51003","C11003","Air Filter","1","1","1","1","TIER_P1"
"EA51004","C11004","Air Filter","1","0","1","1","TIER_P5"
"EA51005","C11005","Air Filter","1","1","1","1","TIER_P1"
"EA51007","C11007","Air Filter","1","0","1","1","TIER_P5"
"EA51008","C11008","Air Filter","1","0","1","1","TIER_P5"
"EA51020","C11020","Air Filter","1","0","1","1","TIER_P5"
"EAC11040","C11040","Air Filter","1","0","0","1","TIER_P5"
"EAC1110","C1110","Air Filter","0","0","0","1","TIER_P5"
"EA51100","C11100","Air Filter","1","1","1","1","TIER_P1"
"EAC111002","C11100/2","Air Filter","0","0","0","1","TIER_P5"
"EA51005","C111005","Air Filter","1","0","1","1","TIER_P5"
"EA51102","C11102","Air Filter","0","0","1","1","TIER_P5"
"EAC111021","C11102/1","Air Filter","0","0","0","0","TIER_P5"
"EA51103","C11103","Air Filter","0","1","1","1","TIER_P4"
"EA51032","C11103/2","Air Filter","1","1","1","1","TIER_P1"
