"table","elimfilters_sku","brand","part_number","cantidad_original","cantidad_resultante"
"ld_competitor_cross_references","EL59147","COMLINE","EOF137","3","1"
"ld_competitor_cross_references","EL59147","FILTRON","OP576","3","1"
"ld_competitor_cross_references","EL59147","HENGST","H10W03","3","1"
"ld_competitor_cross_references","EL59147","JC-PREMIUM","B1Z059PR","3","1"
"ld_competitor_cross_references","EL59147","KNECHT","OC63","3","1"
"ld_competitor_cross_references","EL59147","LUBERFINER","PH253","3","1"
"ld_competitor_cross_references","EL59147","MAGNETI-MARELLI","154020144470","3","1"
"ld_competitor_cross_references","EL59147","MAHLE","OC63","3","1"
"ld_competitor_cross_references","EL59147","OPEN-PARTS","EOF414420","3","1"
"ld_competitor_cross_references","EL59147","OPTIMAL","FO00202","3","1"
"ld_competitor_cross_references","EL59147","QUINTON-HAZELL","QFL0025","3","1"
"ld_competitor_cross_references","EL59147","WILMINK-GROUP","WG1104011","3","1"
"ld_competitor_cross_references","EL59147","WILMINK-GROUP","WG1217218","3","1"
"ld_competitor_cross_references","EL59147","WIX","WL7135","3","1"
"ld_competitor_cross_references","EC52531","3F-QUALITY","1439","2","1"
"ld_competitor_cross_references","EC52531","AC-DELCO","PU1019E","2","1"
"ld_competitor_cross_references","EC52531","ALCO","MS6111","2","1"
"ld_competitor_cross_references","EC52531","BOSCH","1987431023","2","1"
"ld_competitor_cross_references","EC52531","CHAMP","AC54","2","1"
"ld_competitor_cross_references","EC52531","CHAMPION","CCF0066","2","1"
"ld_competitor_cross_references","EC52531","CHAMPION","N131","2","1"
"ld_competitor_cross_references","EC52531","CLEAN","MC1260","2","1"
"ld_competitor_cross_references","EC52531","CLEAN","NC2149","2","1"
"ld_competitor_cross_references","EC52531","COOPERS","ACE013","2","1"
"ld_competitor_cross_references","EC52531","COOPERSFIAAM","PC8021","2","1"
"ld_competitor_cross_references","EC52531","CORTECO","21651900","2","1"
"ld_competitor_cross_references","EC52531","CORTECO","80000753","2","1"
"ld_competitor_cross_references","EC52531","CORTECO","CC1025","2","1"
"ld_competitor_cross_references","EC52531","CORTECO","CP1025","2","1"
"ld_competitor_cross_references","EC52531","CROSLAND","E321","2","1"
"ld_competitor_cross_references","EC52531","DELPHI","TSP0325089","2","1"
"ld_competitor_cross_references","EC52531","DENCKERMANN","M110343","2","1"
"ld_competitor_cross_references","EC52531","FIL","HC7101","2","1"
"ld_competitor_cross_references","EC52531","FILTRON","K1021","2","1"
"ld_competitor_cross_references","EC52531","FISPA","035","2","1"
"ld_competitor_cross_references","EC52531","FRAM","CF5847","2","1"
"ld_competitor_cross_references","EC52531","HIFI-FILTER","SC4008","2","1"
"ld_competitor_cross_references","EC52531","HOFFER","17172F","2","1"
"ld_competitor_cross_references","EC52531","KNECHT","LA10","2","1"
"ld_competitor_cross_references","EC52531","MAGNETI-MARELLI","154064173070","2","1"
"ld_competitor_cross_references","EC52531","MAGNETI-MARELLI","BCF120","2","1"
"ld_competitor_cross_references","EC52531","MAHLE","LA10","2","1"
"ld_competitor_cross_references","EC52531","MAPCO","65108","2","1"
"ld_competitor_cross_references","EC52531","MEAT-DORIA","17172F","2","1"
"ld_competitor_cross_references","EC52531","MECAFILTER","ELR7031","2","1"
"ld_competitor_cross_references","EC52531","MECAFILTER","R56","2","1"
"ld_competitor_cross_references","EC52531","MICRONAIR","MP035","2","1"
"ld_competitor_cross_references","EC52531","OPEN-PARTS","CAF213601","2","1"
"ld_competitor_cross_references","EC52531","PBR","AH7031","2","1"
"ld_competitor_cross_references","EC52531","PURFLUX","AH118","2","1"
"ld_competitor_cross_references","EC52531","PUROLATOR","C28154","2","1"
"ld_competitor_cross_references","EC52531","QUINTON-HAZELL","QAP131","2","1"
"ld_competitor_cross_references","EC52531","QUINTON-HAZELL","QAP231","2","1"
"ld_competitor_cross_references","EC52531","QUINTON-HAZELL","QFC0269","2","1"
"ld_competitor_cross_references","EC52531","SIDAT","035","2","1"
"ld_competitor_cross_references","EC52531","SOFIMA","S3085C","2","1"
"ld_competitor_cross_references","EC52531","TECNOCAR","E321","2","1"
"ld_competitor_cross_references","EC52531","UFI","5308500","2","1"
"ld_competitor_cross_references","EC52531","UNIFLUX","XC187","2","1"
"ld_competitor_cross_references","EC52531","UNIFLUX","XCK187","2","1"
"ld_competitor_cross_references","EC52531","UNIPART","GFE2918","2","1"
"ld_competitor_cross_references","EC52531","WILMINK-GROUP","WG1215239","2","1"
"ld_competitor_cross_references","EC52531","WIX","WP6842","2","1"
"ld_competitor_cross_references","EC52531","ZAFFO","358","2","1"
"ld_competitor_cross_references","EC52531","ZAFFO","Z358","2","1"
"ld_competitor_cross_references","EC52531","ZAFFO","ZF358","2","1"
"ld_competitor_cross_references","EC58971","MAHLE","LA37%2F1","2","1"
"ld_competitor_cross_references","EC58971","PURFLUX","AHC138","2","1"
"ld_competitor_cross_references","EC52949","ACR","320487","2","1"
"ld_competitor_cross_references","EC52949","ACR","320520","2","1"
"ld_competitor_cross_references","EC52949","ACR","321487","2","1"
"ld_competitor_cross_references","EC52949","DELPHI","TSP0325303","2","1"
"ld_competitor_cross_references","EC52949","FIRST-AUTOMOTIVE","C302192","2","1"
"ld_competitor_cross_references","EC52949","FISPA","1002","2","1"
"ld_competitor_cross_references","EC52949","HOFFER","17038X2","2","1"
"ld_competitor_cross_references","EC52949","MEAT-DORIA","17038X2","2","1"
"ld_competitor_cross_references","EC52949","MULLER-FILTER","FC219x2","2","1"
"ld_competitor_cross_references","EC52949","SIDAT","1002","2","1"
"ld_competitor_cross_references","EC52949","VALEO","698790","2","1"
"ld_competitor_cross_references","EC52949","VALEO","698791","2","1"
"ld_competitor_cross_references","EC52949","ZAFFO","Z399","2","1"
"ld_competitor_cross_references","EC52949","ZAFFO","ZF399","2","1"
"ld_competitor_cross_references","EC53979","ACR","3214021","2","1"
"ld_competitor_cross_references","EC53979","FIRST-AUTOMOTIVE","C30116","2","1"
"ld_competitor_cross_references","EC53979","FIRST-AUTOMOTIVE","K30116","2","1"
"ld_competitor_cross_references","EC53979","FISPA","011","2","1"
"ld_competitor_cross_references","EC53979","HOFFER","17087","2","1"
"ld_competitor_cross_references","EC53979","LUCAS","LFCP117","2","1"
"ld_competitor_cross_references","EC53979","MEAT-DORIA","17087","2","1"
"ld_competitor_cross_references","EC53979","MECAFILTER","R17","2","1"
"ld_competitor_cross_references","EC53979","MGA","FAH5041","2","1"
"ld_competitor_cross_references","EC53979","MULLER-FILTER","FC116","2","1"
"ld_competitor_cross_references","EC53979","MULLER-FILTER","FK116","2","1"
"ld_competitor_cross_references","EC53979","SIDAT","011","2","1"
"ld_competitor_cross_references","EL52005","HIFI-FILTER","SO15008","2","1"
"ld_competitor_cross_references","EL51261","MOPAR","L-519","2","1"
"ld_competitor_cross_references","EL54022","AC-DELCO","PF1032","2","1"
"ld_competitor_cross_references","EL54022","AC-DELCO","PF1803","2","1"
"ld_competitor_cross_references","EL54022","AC-DELCO","PF1806","2","1"
"ld_competitor_cross_references","EL54022","ALCO-LOCOMOTIVE","SP855","2","1"
"ld_oem_cross_references","EL52005","MERCEDES-BENZ","4571840225","2","1"
"ld_oem_cross_references","EL52005","MERCEDES-BENZ","A4571840225","2","1"
"ld_oem_cross_references","EL54022","FORD","D5NN-6714-A","2","1"
"ld_oem_cross_references","EL54022","FORD","D8NN-6714-LA","2","1"
"ld_oem_cross_references","EL54022","FORD","D9NN-6714-CA","2","1"
"ld_oem_cross_references","EL54022","GENERAL-MOTORS","25011619","2","1"
"ld_oem_cross_references","EL57121","BMW","11 42 1 266 773","2","1"
"ld_oem_cross_references","EL57121","BMW","11 42 9 061 198","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","3232126","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","3250334","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","5203217","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","72674028","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","8127168","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","J3232126","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","J3250334","2","1"
"ld_oem_cross_references","EL57121","CHRYSLER","J8127168","2","1"
"ld_oem_cross_references","EL57121","CITROEN","MLS000-155","2","1"
"ld_oem_cross_references","EL57121","CITROEN","MLS000155","2","1"
"ld_oem_cross_references","EL57121","FORD","1457512","2","1"
"ld_oem_cross_references","EL57121","FORD","1462805","2","1"
"ld_oem_cross_references","EL57121","FORD","1498014","2","1"
"ld_oem_cross_references","EL57121","FORD","1536304","2","1"
"ld_oem_cross_references","EL57121","FORD","1553370","2","1"
"ld_oem_cross_references","EL57121","FORD","1555370","2","1"
"ld_oem_cross_references","EL57121","FORD","1559937","2","1"
"ld_oem_cross_references","EL57121","FORD","2735E-6714-B","2","1"
"ld_oem_cross_references","EL57121","FORD","5002530","2","1"
"ld_oem_cross_references","EL57121","FORD","5003329","2","1"
"ld_oem_cross_references","EL57121","FORD","5003331","2","1"
"ld_oem_cross_references","EL57121","FORD","5003930","2","1"
"ld_oem_cross_references","EL57121","FORD","5003968","2","1"
"ld_oem_cross_references","EL57121","FORD","5004926","2","1"
"ld_oem_cross_references","EL57121","FORD","5011780","2","1"
"ld_oem_cross_references","EL57121","FORD","5011782","2","1"
"ld_oem_cross_references","EL57121","FORD","5013143","2","1"
"ld_oem_cross_references","EL57121","FORD","5013319","2","1"
"ld_oem_cross_references","EL57121","FORD","6041176","2","1"
"ld_oem_cross_references","EL57121","FORD","691M-6714A/A","2","1"
