"elimfilters_sku","source_sku","reason"
"EA50005","C10005","Duplicate (4 instances collapsed to 1)"
"EA50006","C10006","Duplicate (3 instances collapsed to 1)"
"EA50007","C10007","Duplicate (2 instances collapsed to 1)"
"EA50010","C10010","Duplicate (4 instances collapsed to 1)"
"EA50011","C10011","Duplicate (2 instances collapsed to 1)"
"EA50014","C10014","Duplicate (2 instances collapsed to 1)"
"EA50015","C10015","Duplicate (2 instances collapsed to 1)"
"EA50016","C10016","Duplicate (2 instances collapsed to 1)"
"EA51014","C1014","Duplicate (4 instances collapsed to 1)"
"EA51015","C1015","Duplicate (3 instances collapsed to 1)"
"EA50431","C1043/1","Duplicate (2 instances collapsed to 1)"
"EA50105","C105","Duplicate (2 instances collapsed to 1)"
"EA51003","C11003","Duplicate (4 instances collapsed to 1)"
"EA51005","C11005","Duplicate (5 instances collapsed to 1)"
"EA51007","C11007","Duplicate (2 instances collapsed to 1)"
"EA51008","C11008","Duplicate (3 instances collapsed to 1)"
"EA51020","C11020","Duplicate (3 instances collapsed to 1)"
"EA51100","C11100","Duplicate (3 instances collapsed to 1)"
"EA51102","C11102","Duplicate (3 instances collapsed to 1)"
"EA51032","C11103/2","Duplicate (2 instances collapsed to 1)"
"EA51121","C1112/1","Duplicate (5 instances collapsed to 1)"
"EA51122","C1112/2","Duplicate (2 instances collapsed to 1)"
"EA51127","C1112/7","Duplicate (2 instances collapsed to 1)"
"EA51120","C11120","Duplicate (2 instances collapsed to 1)"
"EA51131","C1131","Duplicate (2 instances collapsed to 1)"
"EA51132","C1132","Duplicate (2 instances collapsed to 1)"
"EA51321","C1132/1","Duplicate (2 instances collapsed to 1)"
"EA51341","C1134/1","Duplicate (2 instances collapsed to 1)"
"EA51401","C1140/1","Duplicate (2 instances collapsed to 1)"
"EA51149","C1149","Duplicate (2 instances collapsed to 1)"
"EA51500","C11500","Duplicate (5 instances collapsed to 1)"
"EA51151","C1151","Duplicate (2 instances collapsed to 1)"
"EA50118","C118","Duplicate (2 instances collapsed to 1)"
"EA51184","C1184","Duplicate (2 instances collapsed to 1)"
"EA51185","C1185","Duplicate (2 instances collapsed to 1)"
"EA51188","C1188","Duplicate (2 instances collapsed to 1)"
"EA51196","C1196","Duplicate (2 instances collapsed to 1)"
"EA52003","C12003","Duplicate (3 instances collapsed to 1)"
"EA52004","C12004","Duplicate (3 instances collapsed to 1)"
"EA52006","C12006","Duplicate (2 instances collapsed to 1)"
"EA52007","C12007","Duplicate (4 instances collapsed to 1)"
"EA52009","C12009","Duplicate (2 instances collapsed to 1)"
"EA52011","C12011","Duplicate (3 instances collapsed to 1)"
"EA52013","C12013X","Duplicate (5 instances collapsed to 1)"
"EA52014","C12014","Duplicate (3 instances collapsed to 1)"
"EA52100","C12100","Duplicate (2 instances collapsed to 1)"
"EA52102","C12102","Duplicate (2 instances collapsed to 1)"
"EA52107","C12107","Duplicate (2 instances collapsed to 1)"
"EA51071","C12107/1","Duplicate (2 instances collapsed to 1)"
"EA51141","C12114/1","Duplicate (3 instances collapsed to 1)"
"EA51161","C12116/1","Duplicate (3 instances collapsed to 1)"
"EA52178","C12178","Duplicate (2 instances collapsed to 1)"
"EA51226","C1226","Duplicate (2 instances collapsed to 1)"
"EA51245","C1245","Duplicate (2 instances collapsed to 1)"
"EA51250","C1250","Duplicate (2 instances collapsed to 1)"
"EA53009","C13009","Duplicate (2 instances collapsed to 1)"
"EA51031","C13103/1","Duplicate (2 instances collapsed to 1)"
"EA53109","C13109","Duplicate (2 instances collapsed to 1)"
"EA51143","C13114/3","Duplicate (3 instances collapsed to 1)"
"EA51144","C13114/4","Duplicate (2 instances collapsed to 1)"
"EA53145","C13145","Duplicate (2 instances collapsed to 1)"
"EA53154","C13154","Duplicate (2 instances collapsed to 1)"
"EA51320","C1320","Duplicate (2 instances collapsed to 1)"
"EA51338","C1338","Duplicate (2 instances collapsed to 1)"
"EA53383","C1338/3","Duplicate (2 instances collapsed to 1)"
"EA51342","C1342","Duplicate (3 instances collapsed to 1)"
"EA51343","C1343","Duplicate (2 instances collapsed to 1)"
"EA51361","C1361","Duplicate (4 instances collapsed to 1)"
"EA51362","C1362","Duplicate (2 instances collapsed to 1)"
"EA51371","C1371","Duplicate (3 instances collapsed to 1)"
"EA53742","C1374/2","Duplicate (2 instances collapsed to 1)"
"EA51381","C1381","Duplicate (6 instances collapsed to 1)"
"EA51387","C1387","Duplicate (2 instances collapsed to 1)"
"EA53993","C1399/3","Duplicate (2 instances collapsed to 1)"
"EA54004","C14004","Duplicate (2 instances collapsed to 1)"
"EA54006","C14006","Duplicate (2 instances collapsed to 1)"
"EA54010","C14010","Duplicate (2 instances collapsed to 1)"
"EA54011","C14011","Duplicate (2 instances collapsed to 1)"
"EA54012","C14012","Duplicate (3 instances collapsed to 1)"
"EA54013","C14013","Duplicate (2 instances collapsed to 1)"
"EA54101","C14101","Duplicate (2 instances collapsed to 1)"
"EA54113","C14113","Duplicate (2 instances collapsed to 1)"
"EA54123","C14123","Duplicate (2 instances collapsed to 1)"
"EA54130","C14130","Duplicate (2 instances collapsed to 1)"
"EA51301","C14130/1","Duplicate (2 instances collapsed to 1)"
"EA54140","C14140","Duplicate (2 instances collapsed to 1)"
"EA51415","C1415","Duplicate (2 instances collapsed to 1)"
"EA54150","C14150","Duplicate (2 instances collapsed to 1)"
"EA54160","C14160","Duplicate (2 instances collapsed to 1)"
"EA54179","C14179","Duplicate (2 instances collapsed to 1)"
"EA51792","C14179/2","Duplicate (2 instances collapsed to 1)"
"EA51794","C14179/4","Duplicate (2 instances collapsed to 1)"
"EA54190","C14190","Duplicate (2 instances collapsed to 1)"
"EA51901","C14190/1","Duplicate (2 instances collapsed to 1)"
"EA54200","C14200","Duplicate (2 instances collapsed to 1)"
"EA52001","C14200/1","Duplicate (4 instances collapsed to 1)"
"EA52002","C14200/2","Duplicate (2 instances collapsed to 1)"
"EA52021","C14202/1","Duplicate (4 instances collapsed to 1)"
"EA51440","C1440","Duplicate (2 instances collapsed to 1)"
"EA54401","C1440/1","Duplicate (3 instances collapsed to 1)"
"EA51460","C1460","Duplicate (3 instances collapsed to 1)"
"EA51465","C1465","Duplicate (2 instances collapsed to 1)"
"EA54681","C1468/1","Duplicate (2 instances collapsed to 1)"
"EA51476","C1476","Duplicate (2 instances collapsed to 1)"
"EA55005","C15005","Duplicate (3 instances collapsed to 1)"
"EA55007","C15007","Duplicate (3 instances collapsed to 1)"
"EA55008","C15008","Duplicate (3 instances collapsed to 1)"
"EA55010","C15010","Duplicate (3 instances collapsed to 1)"
"EA55011","C15011","Duplicate (3 instances collapsed to 1)"
"EA55015","C15015","Duplicate (4 instances collapsed to 1)"
"EA55020","C15020","Duplicate (2 instances collapsed to 1)"
"EA55100","C15100","Duplicate (2 instances collapsed to 1)"
"EA55101","C15101","Duplicate (3 instances collapsed to 1)"
"EA51021","C15102/1","Duplicate (2 instances collapsed to 1)"
"EA55104","C15104","Duplicate (2 instances collapsed to 1)"
"EA51051","C15105/1","Duplicate (2 instances collapsed to 1)"
"EA51202","C15120/2","Duplicate (2 instances collapsed to 1)"
"EA55122","C15122","Duplicate (2 instances collapsed to 1)"
"EA55124","C15124","Duplicate (3 instances collapsed to 1)"
"EA51241","C15124/1","Duplicate (3 instances collapsed to 1)"
"EA55127","C15127","Duplicate (2 instances collapsed to 1)"
"EA51431","C15143/1","Duplicate (2 instances collapsed to 1)"
"EA51631","C15163/1","Duplicate (3 instances collapsed to 1)"
"EA51653","C15165/3","Duplicate (2 instances collapsed to 1)"
"EA55200","C15200","Duplicate (2 instances collapsed to 1)"
"EA51530","C1530","Duplicate (2 instances collapsed to 1)"
"EA50071","C153007/1","Duplicate (5 instances collapsed to 1)"
"EA51532","C1532","Duplicate (2 instances collapsed to 1)"
"EA51537","C1537","Duplicate (2 instances collapsed to 1)"
"EA55403","C1540/3","Duplicate (2 instances collapsed to 1)"
"EA55521","C1552/1","Duplicate (2 instances collapsed to 1)"
"EA56001","C16001","Duplicate (4 instances collapsed to 1)"
"EA56005","C16005","Duplicate (5 instances collapsed to 1)"
"EA56006","C16006","Duplicate (6 instances collapsed to 1)"
"EA56007","C16007","Duplicate (4 instances collapsed to 1)"
"EA56012","C16012","Duplicate (2 instances collapsed to 1)"
"EA56013","C16013","Duplicate (3 instances collapsed to 1)"
"EA56014","C16014","Duplicate (3 instances collapsed to 1)"
"EA56015","C16015","Duplicate (2 instances collapsed to 1)"
"EA56018","C16018","Duplicate (2 instances collapsed to 1)"
"EA56025","C16025","Duplicate (2 instances collapsed to 1)"
"EA56100","C16100","Duplicate (2 instances collapsed to 1)"
"EA56110","C16110","Duplicate (2 instances collapsed to 1)"
"EA51142","C16114/2X","Duplicate (2 instances collapsed to 1)"
"EA56118","C16118","Duplicate (2 instances collapsed to 1)"
"EA56133","C16133","Duplicate (2 instances collapsed to 1)"
"EA56140","C16140","Duplicate (2 instances collapsed to 1)"
"EA56150","C16150","Duplicate (2 instances collapsed to 1)"
"EA52471","C16247/1","Duplicate (2 instances collapsed to 1)"
"EA56302","C16302","Duplicate (3 instances collapsed to 1)"
"EA51632","C1632","Duplicate (3 instances collapsed to 1)"
"EA56340","C16340","Duplicate (2 instances collapsed to 1)"
"EA56501","C16501","Duplicate (2 instances collapsed to 1)"
"EA57004","C17004","Duplicate (3 instances collapsed to 1)"
"EA57006","C17006","Duplicate (4 instances collapsed to 1)"
"EA57008","C17008","Duplicate (4 instances collapsed to 1)"
"EA57009","C17009","Duplicate (4 instances collapsed to 1)"
"EA57010","C17010","Duplicate (2 instances collapsed to 1)"
"EA57011","C17011","Duplicate (2 instances collapsed to 1)"
"EA50121","C17012/1","Duplicate (2 instances collapsed to 1)"
"EA57013","C17013","Duplicate (2 instances collapsed to 1)"
"EA57014","C17014","Duplicate (2 instances collapsed to 1)"
"EA57016","C17016","Duplicate (2 instances collapsed to 1)"
"EA57017","C17017","Duplicate (2 instances collapsed to 1)"
"EA57023","C17023","Duplicate (2 instances collapsed to 1)"
"EA57040","C17040","Duplicate (2 instances collapsed to 1)"
"EA57100","C17100","Duplicate (3 instances collapsed to 1)"
"EA57124","C17124","Duplicate (2 instances collapsed to 1)"
"EA57125","C17125","Duplicate (2 instances collapsed to 1)"
"EA57127","C17127","Duplicate (2 instances collapsed to 1)"
"EA57129","C17129","Duplicate (2 instances collapsed to 1)"
"EA57160","C17160","Duplicate (2 instances collapsed to 1)"
"EA57161","C17161","Duplicate (3 instances collapsed to 1)"
"EA57192","C17192","Duplicate (2 instances collapsed to 1)"
"EA51752","C1752","Duplicate (2 instances collapsed to 1)"
"EA51776","C1776","Duplicate (2 instances collapsed to 1)"
"EA58003","C18003","Duplicate (3 instances collapsed to 1)"
"EA58004","C18004","Duplicate (5 instances collapsed to 1)"
"EA58006","C18006","Duplicate (2 instances collapsed to 1)"
"EA58008","C18008","Duplicate (2 instances collapsed to 1)"
"EA58009","C18009X","Duplicate (2 instances collapsed to 1)"
"EA58023","C18023","Duplicate (2 instances collapsed to 1)"
"EA58028","C18028","Duplicate (2 instances collapsed to 1)"
"EA58037","C18037","Duplicate (2 instances collapsed to 1)"
"EA51461","C18146/1","Duplicate (2 instances collapsed to 1)"
"EA51491","C18149/1","Duplicate (2 instances collapsed to 1)"
"EA58161","C18161","Duplicate (3 instances collapsed to 1)"
"EA51820","C1820","Duplicate (3 instances collapsed to 1)"
"EA52184","C182184","Duplicate (2 instances collapsed to 1)"
"EA51827","C1827","Duplicate (2 instances collapsed to 1)"
"EA51829","C1829","Duplicate (2 instances collapsed to 1)"
"EA58331","C1833/1","Duplicate (2 instances collapsed to 1)"
"EA54361","C18436/1X","Duplicate (2 instances collapsed to 1)"
"EA51891","C1891","Duplicate (3 instances collapsed to 1)"
"EA59005","C19005","Duplicate (2 instances collapsed to 1)"
"EA59006","C19006","Duplicate (3 instances collapsed to 1)"
"EA59008","C19008","Duplicate (2 instances collapsed to 1)"
"EA59010","C19010","Duplicate (4 instances collapsed to 1)"
"EA59015","C19015","Duplicate (2 instances collapsed to 1)"
"EA59105","C19105","Duplicate (2 instances collapsed to 1)"
"EA59130","C19130","Duplicate (2 instances collapsed to 1)"
"EA59150","C19150","Duplicate (2 instances collapsed to 1)"
"EA51930","C1930","Duplicate (2 instances collapsed to 1)"
"EA51936","C1936","Duplicate (2 instances collapsed to 1)"
"EA51980","C1980","Duplicate (2 instances collapsed to 1)"
"EA50002","C20002","Duplicate (3 instances collapsed to 1)"
"EA50003","C20003","Duplicate (3 instances collapsed to 1)"
"EA50017","C20017","Duplicate (2 instances collapsed to 1)"
"EA50024","C20024","Duplicate (2 instances collapsed to 1)"
"EA50027","C20027","Duplicate (2 instances collapsed to 1)"
"EA50028","C20028","Duplicate (2 instances collapsed to 1)"
"EA50033","C20033","Duplicate (2 instances collapsed to 1)"
"EA50043","C20043","Duplicate (2 instances collapsed to 1)"
"EA50161","C20161","Duplicate (2 instances collapsed to 1)"
"EA50189","C20189","Duplicate (2 instances collapsed to 1)"
"EA52029","C2029","Duplicate (2 instances collapsed to 1)"
"EA53201","C20320/1","Duplicate (2 instances collapsed to 1)"
"EA52039","C2039","Duplicate (2 instances collapsed to 1)"
"EA52050","C2050","Duplicate (2 instances collapsed to 1)"
"EA50500","C20500","Duplicate (2 instances collapsed to 1)"
"EA50551","C2055/1","Duplicate (3 instances collapsed to 1)"
"EA51001","C21001","Duplicate (6 instances collapsed to 1)"
"EA51002","C21002","Duplicate (4 instances collapsed to 1)"
"EA51011","C21011","Duplicate (3 instances collapsed to 1)"
