"schema","table","row_count","size_bytes","size_pretty"
"ld_catalog","ld_vehicle_applications","278038","98459648","94 MB"
"public","elimfilters_catalog","6643","94232576","90 MB"
"public","kg_product_equipment","135157","22405120","21 MB"
"ld_catalog","ld_competitor_cross_references","63528","13017088","12 MB"
"public","mann_oem_clean","44192","11714560","11 MB"
"public","kg_equipment_models","0","7618560","7440 kB"
"public","product_model","5423","3776512","3688 kB"
"public","product_element","2347","1818624","1776 kB"
"ld_catalog","ld_oem_cross_references","5843","1286144","1256 kB"
"ld_catalog","ld_product_catalog","6306","917504","896 kB"
"public","alternative_group","2364","868352","848 kB"
"public","kg_product_systems","0","835584","816 kB"
"public","kg_product_technologies","0","827392","808 kB"
"ld_catalog","ld_production_readiness","6306","819200","800 kB"
"public","model_element_compatibility","2333","638976","624 kB"
"public","alternative_group_member","2347","548864","536 kB"
"public","mann_donaldson_matches","1963","548864","536 kB"
"public","cross_reference_master","1439","417792","408 kB"
"public","exact_part_reference","903","368640","360 kB"
"ld_catalog","ld_product_specifications","1124","319488","312 kB"
"public","mann_fleetguard_matches","1189","286720","280 kB"
"public","kg_equipment_makes","0","212992","208 kB"
"public","kg_technologies","0","81920","80 kB"
"public","kg_systems","0","65536","64 kB"
"public","kg_industries","6","49152","48 kB"
"public","product_family","10","49152","48 kB"
"public","kg_problems","12","49152","48 kB"
"public","fleetguard_true_cross","5","32768","32 kB"
"public","ai_usage_log","4","32768","32 kB"
"public","equipment_vin","0","24576","24 kB"
"public","ai_content_pages","0","24576","24 kB"
"public","ai_messages","0","24576","24 kB"
"public","kg_make_industries","73","24576","24 kB"
"public","ai_sessions","0","16384","16 kB"
"public","v_unmatched_makes","0","8192","8192 bytes"
"public","kg_problem_systems","0","8192","8192 bytes"
"public","v_products_total","0","8192","8192 bytes"
"public","v_makes_with_models","0","8192","8192 bytes"
"public","v_flagged_count","0","8192","8192 bytes"
"public","v_products_with_eq","0","8192","8192 bytes"
