sku,category,don_pn,brand,code,code_type
EL80832,lube,DBL0832,DONALDSON,P550832,ALTERNATIVE
EL83998,lube,DBL3998,DONALDSON,P552100,ALTERNATIVE
EL83998,lube,DBL3998,DONALDSON,P551016,ALTERNATIVE
EL83998,lube,DBL3998,HIFI,SO10086,CROSSREF
EL83998,lube,DBL3998,LUBERFINER,LFP2160XL,CROSSREF
EL83998,lube,DBL3998,BIG A,92971XD,OEM
EL83998,lube,DBL3998,LEYLAND-DAF (LDV),10906228,OEM
EL83998,lube,DBL3998,LEYLAND-DAF (LDV),10906288,OEM
EL83998,lube,DBL3998,LEYLAND-DAF (LDV),709932,OEM
EL83998,lube,DBL3998,MACK,2191P552100,OEM
EL83998,lube,DBL3998,NEW FLYER INDUSTRIES LTD,945045,OEM
EL83998,lube,DBL3998,ORENSTEIN & KOPPEL,8024609,OEM
EL84560,lube,DBL4560,DONALDSON,P554560,ALTERNATIVE
EL84560,lube,DBL4560,CUMMINS,5375337,OEM
EL87300,lube,DBL7300,DONALDSON,P553000,ALTERNATIVE
EL87300,lube,DBL7300,HENGST,H300W07,CROSSREF
EL87300,lube,DBL7300,HIFI,SO10177,CROSSREF
EL87300,lube,DBL7300,MANN,WP12121,CROSSREF
EL87300,lube,DBL7300,UFI,23.503.00,CROSSREF
EL87300,lube,DBL7300,UFI,2350300,CROSSREF
EL87300,lube,DBL7300,CUMMINS,4906635,OEM
EL87300,lube,DBL7300,CUMMINS,5444774,OEM
EL87300,lube,DBL7300,CUMMINS,5520789,OEM
EL87300,lube,DBL7300,EPIROC,6060009419,OEM
EL87300,lube,DBL7300,HITACHI,YA00083032,OEM
EL87300,lube,DBL7300,SDLG,4110016146003,OEM
EL87300,lube,DBL7300,VERSATILE,86029587,OEM
EL87345,lube,DBL7345,DONALDSON,P558616,ALTERNATIVE
EL87345,lube,DBL7345,DONALDSON,P551017,ALTERNATIVE
EL87345,lube,DBL7345,HENGST,H831W,CROSSREF
EL87345,lube,DBL7345,MANN,W1020,CROSSREF
EL87345,lube,DBL7345,KOMATSU,6733515140,OEM
EL87345,lube,DBL7345,NEW HOLLAND,73326620,OEM
EL87345,lube,DBL7345,VMC,LF7345,OEM
EL87345,lube,DBL7345,VOLVO,15155620,OEM
EL87349,lube,DBL7349,DONALDSON,P558615,ALTERNATIVE
EL87349,lube,DBL7349,DONALDSON,P551018,ALTERNATIVE
EL87349,lube,DBL7349,FRAM,HPH3976AFP,CROSSREF
EL87349,lube,DBL7349,HASTINGS,LF678,CROSSREF
EL87349,lube,DBL7349,HIFI,SO10008,CROSSREF
EL87349,lube,DBL7349,LUBERFINER,LFP780XL,CROSSREF
EL87349,lube,DBL7349,BLAW KNOX,0016482100,OEM
EL87349,lube,DBL7349,CARRIER TRANSICOLD,300046300P12,OEM
EL87349,lube,DBL7349,CARRIER TRANSICOLD,300046300,OEM
EL87349,lube,DBL7349,DONGFENG,1012N010,OEM
EL87349,lube,DBL7349,FODEN,Y03753603,OEM
EL87349,lube,DBL7349,HITACHI,76192087,OEM
EL87367,lube,DBL7367,DONALDSON,P550367,ALTERNATIVE
EL87367,lube,DBL7367,HENGST,H23WD,CROSSREF
EL87367,lube,DBL7367,ALLIANCE-PARTS,ABPN-10G-P550367,CROSSREF
EL87367,lube,DBL7367,BALDWIN,B40013,CROSSREF
EL87367,lube,DBL7367,LUBERFINER,LFP2285XL,CROSSREF
EL87367,lube,DBL7367,WIX,51799XD,CROSSREF
EL87367,lube,DBL7367,SANDVIK,69036397,OEM
EL87367,lube,DBL7367,VMC,LF7367,OEM
EL87405,lube,DBL7405,DONALDSON,DBL7505,ALTERNATIVE
EL87405,lube,DBL7405,DONALDSON,P551808,ALTERNATIVE
EL87405,lube,DBL7405,DONALDSON,P554005,ALTERNATIVE
EL87405,lube,DBL7405,DONALDSON,P554105,ALTERNATIVE
EL87405,lube,DBL7405,HENGST,H842W,CROSSREF
EL87405,lube,DBL7405,HIFI,SO10083,CROSSREF
EL87405,lube,DBL7405,LUBERFINER,LFP4005XL,CROSSREF
EL87405,lube,DBL7405,CATERPILLAR,2444484,OEM
EL87405,lube,DBL7405,COMPAIR,9826280400001,OEM
EL87405,lube,DBL7405,SULLAIR,0953,OEM
EL87405,lube,DBL7405,SULLAIR,953,OEM
EL87483,lube,DBL7483,DONALDSON,P550519,ALTERNATIVE
EL87483,lube,DBL7483,DONALDSON,P553191,ALTERNATIVE
EL87483,lube,DBL7483,DONALDSON,P551807,ALTERNATIVE
EL87483,lube,DBL7483,DT,110280,CROSSREF
EL87483,lube,DBL7483,DT,211037,CROSSREF
EL87483,lube,DBL7483,DT,624202,CROSSREF
EL87483,lube,DBL7483,HENGST,H200W10,CROSSREF
EL87483,lube,DBL7483,LUBERFINER,LFP3191XL,CROSSREF
EL87483,lube,DBL7483,MANN,W11102/36,CROSSREF
EL87483,lube,DBL7483,WIX,51791,CROSSREF
EL87483,lube,DBL7483,WIX,51791E,CROSSREF
EL87483,lube,DBL7483,ARIEL,A0661,OEM
EL87483,lube,DBL7483,ARIEL,A661,OEM
EL87483,lube,DBL7483,GARDNER DENVER,H27096,OEM
EL87483,lube,DBL7483,RENAULT VI,7421561278,OEM
EL87483,lube,DBL7483,RENAULT VI,41035000133555,OEM
EL87483,lube,DBL7483,VMC,LF7483,OEM
EL87483,lube,DBL7483,VOLVO,21707134,OEM
EL87505,lube,DBL7505,DONALDSON,P554105,ALTERNATIVE
EL87505,lube,DBL7505,DONALDSON,P554005,ALTERNATIVE
EL87505,lube,DBL7505,DONALDSON,P551808,ALTERNATIVE
EL87505,lube,DBL7505,DONALDSON,DBL7405,ALTERNATIVE
EL87505,lube,DBL7505,HENGST,H842W,CROSSREF
EL87505,lube,DBL7505,CATERPILLAR,244-4484,CROSSREF
EL87505,lube,DBL7505,GROVE,03134850,CROSSREF
EL87505,lube,DBL7505,HIFI,SO10154,CROSSREF
EL87505,lube,DBL7505,MAHLE,HC35,CROSSREF
EL87505,lube,DBL7505,MAHLE,PX37-13-2-SMX10,CROSSREF
EL87505,lube,DBL7505,MANN,WD13145/17,CROSSREF
EL87505,lube,DBL7505,CATERPILLAR,2444484,OEM
EL87670,lube,DBL7670,DONALDSON,P551670,ALTERNATIVE
EL87670,lube,DBL7670,HENGST,H240W,CROSSREF
EL87670,lube,DBL7670,HIFI,SO6112,CROSSREF
EL87670,lube,DBL7670,AC DELCO,PF911L,OEM
EL87670,lube,DBL7670,AC DELCO,PF2103L,OEM
EL87670,lube,DBL7670,BOBCAT,900007,OEM
EL87670,lube,DBL7670,CUMMINS,5465813,OEM
EL87670,lube,DBL7670,DETROIT DIESEL,23518524,OEM
EL87670,lube,DBL7670,DETROIT DIESEL,23530408,OEM
