"elimfilters_sku","source_sku","segment","WIX","FRAM","MAHLE","KNECHT","HENGST","UFI","FILTRON","FLEETGUARD","DONALDSON","BOSCH","CHAMPION","ALCO","FEBI","BLUE-PRINT","AC-DELCO","PURFLUX","COMLINE","SOFIMA","DENCKERMANN","COOPERS-FIAAM"
"EA51113","C1113","Air Filter","","","","","","2771000","","","","","","","","","","","","","",""
"EA51454","C1145/4","Air Filter","WA6501","","","","","","","","","","","","","","","A369","","","",""
"EA51455","C1145/5","Air Filter","W48910BR","","","","","","","","","F026400011","","","","","","A369","","","",""
"EA51149","C1149","Air Filter","","","","","E69L","","","","","","","","","","","","","","",""
"EA51151","C1151","Air Filter","WA6486","CA5331","LX502","","E349L","2723400","AR314","","","1457433229","V433","MD5034","","","","A224","","S7234A","",""
"EA51154","C1154","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA51185","C1185","Air Filter","93053E","","","","E1840L","27A2700","","","","","","","","","","","","S7A27A","",""
"EA52014","C12014","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA51219","C1219","Air Filter","","","","","","2776300","","","","","","","","","","","","","",""
"EA51230","C1230","Air Filter","","","LX186","LX186","","","","","","","","","","","","","","","",""
"EA51236","C1236","Air Filter","","CA2616","AG37","","","","","","","","","","","","","A427","","","",""
"EA51243","C1243","Air Filter","","","LX100","LX100","","","","","","","","MD386","","","","A863","","","",""
"EA51257","C1257","Air Filter","","","","","","2776100","","","","","","","","","","","","","",""
"EA53010","C13010","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA51143","C13114/3","Air Filter","WA6084","","LX200","","","","","","","","","","","","","","","","",""
"EA53135","C13135","Air Filter","WA6086","","LX49","LX49","","2799300","AM415","","","","","","","","","","","S9070A","",""
"EA53137","C13137","Air Filter","WA6472","","","","","2708500","AR296","","","","","MD5054","","","","","","S9160A","A140321",""
"EA51338","C1338","Air Filter","","","LX186","LX186","","2772200","","","","","","","","","","","","","",""
"EA51349","C1349","Air Filter","","","LX136","LX136","","","","","","","","","","","","","","","",""
"EA51355","C1355","Air Filter","","","","","E128L","","","","","","","","","","","","","","",""
"EA51357","C1357","Air Filter","","CA2663A","LX130","LX130","","2773100","","","","","","","","","","A197","","S0680A","",""
"EA51358","C1358","Air Filter","","CA2663A","LX130","LX130","","2773100","","","","","","","","","","A197","","S0680A","",""
"EA53621","C1362/1","Air Filter","WA6419","","","","","","","","","","","","","","","A197","","","",""
"EA51376","C1376","Air Filter","WA6450","CA4982","LX150","","","2708900","AR269","","","1457433012","","MD5056","","","PC2031E","A845","EAF330","S4410A","",""
"EA53991","C1399/1","Air Filter","WA6434","","","","","","","","","","","","","","","","","","",""
"EA54117","C14117","Air Filter","WA6132","CA5174","LX880","LX880","","","AM451","","","","V428","MD9800","","","PC2044E","","","","A140244",""
"EA51415","C1415","Air Filter","","","","","E1487L","","","","P606951","","","","","","","","","","",""
"EA51591","C14159/1","Air Filter","WA6117","CA4333","LX872","","","2713800","AM441","AF4992","","1457433678","W709%2F606","","","ADT32214","PC2056E","A1968","EAF243","S7138A","",""
"EA51424","C1424","Air Filter","","","","","","","","","","","","","","","","","","S1360A","",""
"EA51426","C1426","Air Filter","","","","","","","","AF4085","","","","MD082","","","","","","","",""
"EA51465","C1465","Air Filter","WA6432","","","","E433L","2756300","AR253","AF26204","","","","MD632","","","PC2061E","","","S7563A","",""
"EA54681","C1468/1","Air Filter","WA6033","","","","","","","","","","","","","","","A518","","","",""
"EA51470","C1470","Air Filter","WA6464","","LX706","LX706","","2718200","AR2861","","","","","","","","","","","S7182A","",""
"EA51476","C1476","Air Filter","","CA3174B","LX291","LX291","E348L","2784502","","","","","","","","","","A518","","S4580A","",""
"EA50149","C149","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA55010","C15010M","Air Filter","WA9732","CA11424","LX26072","","E1055L","27A5400","AR3716","","","0986AF3147","","MD5348","","","","A1549","EAF808","S7A54A","",""
"EA50151","C151","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA55105","C15105","Air Filter","WA6573","CA8934","LX823","LX823","E377L","2735300","AK362","","","","CAF100443C","","","","","A1052","EAF078","S5920A","A140706",""
"EA51202","C15120/2","Air Filter","WA6400","","LX228","","","","","","","","","","","","","","","","",""
"EA55124","C15124","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA51245","C15124/5","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA55143","C15143","Air Filter","WA6574","CA8985","LX818","LX818","E376L","2738400","AK3621","","","","","MD9516","","","","A1078","EAF079","S9260A","",""
"EA55163","C15163","Air Filter","WA6118","CA5871","LX941","LX941","","","AM441%2F1","","","0986AF2634","CAF100470C","MD-5112","","ADT32248","PC2076E","A1105","CTY12040","","A140139",""
"EA51651","C15165/1","Air Filter","WA6069","CA3295","LX275","AG87","E113L","27.828.00","AM406%2F1","AF4135","P140186","1457429941","CAF100711R","MD-498","","","PC177","A801","EAF283","S4940A","",""
"EA51519","C1519","Air Filter","","","","","","2771600","","","","","","","","","","","","S2360A","",""
"EA51532","C1532","Air Filter","","","FPA3051","","","","","","","","","","","","","","","","",""
"EA55403","C15403","Air Filter","","","","","","","","AF25481","","","","","","","","","","","",""
"EA51595","C1595","Air Filter","WA6500","CA5612","LX914","LX914","E429L","2723600","AR3481","","","","","","","","","A340","","S3900A","",""
"EA56005","C16005M","Air Filter","49243","CA11070","70536040","","E1054L","27A4800","AR3717","","","F026400261","","MD5414","","","","","","S7A48A","",""
"EA51131","C16113/1","Air Filter","WA6610","","","","","","","","","","","","","","","","","","",""
"EA56122","C16122","Air Filter","","CA4965","","","","","","","P500078","","","MD526","","","PC2092E","A1022","CMZ12603","","A140831",""
"EA56130","C16130","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA56142","C16142","Air Filter","WA9704","CA11064","LX2685","LX2685","E1080L","","AR3723","","","","","MD5332","","","","A1399","EAF762","","",""
"EA56212","C16212","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA56214","C16214","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA51632","C1632","Air Filter","46172","","","","","","","","","","","","","","","","","","",""
"EA51642","C1642","Air Filter","","","","","","2773000","","","","","","","","","","","","S5060A","",""
"EA51648","C1648","Air Filter","","","","","","2784600","","","","","CAF100177R","","","","","","","S6510A","",""
"EA51672","C1672","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA57125","C17125","Air Filter","WP9132","CA212PL","","","","","","AF1645","","","","","","","A67C","","","","",""
"EA57161","C17161","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA57177","C17177","Air Filter","WA6094","","","","E120L","","AM422","","","","","","","","","","EAF218","","",""
"EA52012","C17201/2","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA52252","C17225/2","Air Filter","WA6085","","LX236","","","","","","","","","","","","","","","","",""
"EA51725","C1725","Air Filter","","","","","","2770300","","","","","","","","","","","","","",""
"EA57308","C17308","Air Filter","W42544","CA283A","LX910","","","","","AF25075","P619859","0986B03531","","","","","","","","","",""
"EA51750","C1750","Air Filter","","","","","","","","","","","","","","","PC2106E","","","","",""
"EA51752","C1752","Air Filter","WA6430","","LX774","LX774","E454L","2728400","AR2471","AF25382","P780621","0986626758","","MD144","","","","","","S7284A","",""
"EA51759","C1759","Air Filter","","","","","","2783400","","","","","","","","","","","","","",""
"EA58023","C18023","Air Filter","WA9787","CA11742","LX3536","","E1222L","3060300","","","","","CAF101301P","MD8688","","ADT322115","","A1613","","","",""
"EA58146","C18146","Air Filter","","","LX305","LX305","","","","","","","","MD9810","","","","","","","A140403",""
"EA51461","C18146/1","Air Filter","WA6604","","LX986","","","","","","","","","","","","","A378","","","",""
"EA51462","C18146/2","Air Filter","WA6604","","LX986","","","","","","","","","","","","","A378","","","",""
"EA51815","C1815","Air Filter","","","","","","2771100","","","","","","","","","","","","","",""
"EA58187","C18187","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA58202","C18202","Air Filter","93168E","","LXS223","LXS223","E454LS","2740400","AM4712","AF25439","P780623","","","","","","","","","S7404A","",""
"EA51829","C1829","Air Filter","","","","","E2923LI","","","","P783386","","","","","","","","","","",""
"EA58360","C18360","Air Filter","","","LX3190","","","","","","","","","","","","","","","","",""
"EA51839","C1839","Air Filter","","","","","","2770800","","AF1710","","","","","","","","","","","",""
"EA51842","C1842","Air Filter","WA6006","","","","","2774200","AE279","","","","CAF100178R","MD528","","","","","","","",""
"EA58581","C1858/1","Air Filter","W48900BR","","","","","","","","","","","","","","","A1231","","","",""
"EA58832","C1883/2","Air Filter","42165","CA2613","LX190","","E1300L","2779700","","","","1457429024","","MD140","","","PC162","A642","","","",""
"EA59171","C19171","Air Filter","","","LXS299","","","","","AF471","","","","","","","","","","","",""
"EA51963","C1963","Air Filter","","CA4306","","","","","","","","","CAF100182R","","","","","","","","",""
"EA51966","C1966","Air Filter","","","","","","","","","","","","MD126","","","","","","","",""
"EA50005","C20005","Air Filter","","","","","","","","","","0986AF2329","","","","","","","","","",""
"EA50161","C20161","Air Filter","","","","","","27B9600","","","P776837","","","","","","","","","","",""
"EA50280","C20280","Air Filter","42352E","","LX269","LX269","E280L","","AM429","AF981","","","","","","","","","","","",""
"EA50551","C2055/1","Air Filter","","CA3916","","","","","","","","","","","","","","","","","",""
"EA50855","C20855","Air Filter","93306E","","","","","","AM437","AF1752M","","","","MD7022","","","","","","","",""
"EA50905","C20905","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA51011","C21011","Air Filter","WA9828","","LX4418","","E1163L","3071300","","","","","","MD8870","","","","A1011","EAF940","","",""
"EA51104","C21104","Air Filter","WA9409","CA9622","LX1568","LX1568","E490L","","AP08010","","","1987429182","CAF100752P","MD8030","","","","A1159","EAF541","","A140299",""
"EA52120","C2120","Air Filter","W42135","CA2718","LX157","LX157","E194L","2772800","AR213","","","0986B02002","","MD044","","","","A452","","S8210A","A140311",""
"EA51201","C2120/1","Air Filter","WA6394","CA2671","LX101","AG23","E194L","27.728.00","AR213","AF25232","P500052","0986AF2313","CAF100107R","MD-044","","","01EFA003","A452","EAF269","S8210A","A140311",""
"EA51631","C2163/1","Air Filter","WA6218","CA4794","LX553","AG247","E201L","30.900.00","AP055","","","1457429829","CAF100512P","MD-9074","","","PC2161E","A690","EAF237","","",""
"EA52169","C2169","Air Filter","WA6181","","","","","3089502","AP018","AF1702","","","CAF100621P","MD9080","","","","","","S0530A","A140813",""
"EA52180","C2180","Air Filter","42414","","","","","","","","","73349","","","","","","","","","",""
"EA52019","C22019","Air Filter","WA9733","","","","E1214L","3063200","AP1225","","","F026400291","","","","","","","EAF807","S3632A","",""
"EA51171","C22117/1","Air Filter","WA6168","","LX220","","","","","","","","","","","","","A515","","","",""
"EA52227","C2227","Air Filter","","","LX161","LX161","","2779200","","","","","CAF100129R","MD206","","","","","","S0400A","",""
"EA52231","C2231","Air Filter","","","","","","","","","","","CAF100406R","MD422","","","","","","","",""
"EA52232","C2232","Air Filter","","","LX134","LX134","","","","","","","","","","","","","","","",""
"EA52234","C2234","Air Filter","","","LX134","LX134","","2790600","","","","","","","","","","","","S1550A","",""
"EA52242","C2242","Air Filter","","CA4285","LX48","LX48","","3087201","","","","","","","","","","A194","EAF111","S2440A","",""
"EA52561","C2256/1","Air Filter","WA6236","","","","","","","","","","","","","","","A254","","","",""
"EA52580","C22580","Air Filter","93309E","","LX2066","LX2066","E842L","","AM4479","AF25873","","F026400070","","","","","","","","","",""
"EA52631","C2263/1","Air Filter","42834","CA4745A","LX51","LX51","E1044L","3028000","","","","0986AF2083","CAF100199R","MD8130","","","PC366","A1235","","","",""
"EA52320","C2320","Air Filter","","","LX160","LX160","","","","","","","","","","","","","","","",""
"EA52323","C2323","Air Filter","WA6533","CA3124","","","","2773400","AR363","","","1457432186","","MD574","","","PC2188E","A924","","S2300A","",""
"EA53251","C23251","Air Filter","42260","CA230","","","","","","AF252","EDG110010","","","","","","A141C","","","","",""
"EA53259","C23259","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA53326","C23326","Air Filter","","","LX116","LX116","E584L","2792200","","AF344M","","","","","","","","","","S2350A","",""
"EA52351","C2351","Air Filter","","","","","","2770600","","","","","","","","","","","","S0760A","",""
"EA53795","C2379/5","Air Filter","WA6306","CA4778","LX570","LX570","","","AP125","AF4652","","0986AF2726","CAF100605P","MD-9080","","","A1112C","A839","CTY12150","","A140109",""
"EA54039","C24039","Air Filter","46701","CA9244","","","E740L","27A4200","","AF25589","P536457","","","","","","","","","S7A42A","",""
"EA54123","C24123","Air Filter","WA6734","CA10354","LX7422","LX7422","E415L","3019500","AP1352","","","1457433075","","MD8028","","","","A1265","EAF455","S3195A","A140627",""
"EA54137","C24137","Air Filter","WA9417","","LX1605","LX1605","E884L","","AP1654","","","","","","","","","","EAF561","","",""
"EA54310","C24310","Air Filter","93202E","","","","","","AM462","","","","","","","","","","","","",""
"EA54331","C2433/1","Air Filter","WA9563","","LX1983","","","","","","","","","","","","","A1317","","","",""
"EA52436","C2436","Air Filter","WA6412","CA3121","LX160","LX160","E195L","","AR230","","","1457432111","","MD244","","","","A455","EAF313","","",""
"EA52437","C2437","Air Filter","WA6395","CA660PL","LX158","LX158","","2771900","AR214","","","","","","","","","A454","EAF271","S0660A","",""
"EA54458","C24458","Air Filter","42119","","LX28","LX28","E570L","","AM428","","","","","","","","","","","","",""
"EA54745","C24745","Air Filter","93300E","","LX1807","LX1807","E713L","2762700","AM4555","AF26199","","","","","","","","","","S7627A","",""
"EA54760","C24760","Air Filter","","CA8193","LX2534","","","","","","","","","","","","","","","","",""
"EA52485","C2485","Air Filter","WA9469","CA9932","LX9333","LX9333","E769L","3031900","AP1347","","","1457433595","","","","","","A1184","EAF557","S0412A","",""
"EA55007","C25007","Air Filter","","","","","","","","","","","","","","","","","","","",""
"EA55117","C25117","Air Filter","WA6730","CA9340","LX1045","LX1045","E436L","","AP1302","","","1457433150","","","","","","A1112","EAF425","","A140520",""
"EA52517","C2517","Air Filter","WA6665","CA9295","LX1002","LX1002","E641L","3017600","AP1422","","","1457433972","","","","","","A1107","","S9102A","",""
"EA52520","C2520","Air Filter","WA9504","","LX18501","LX18501","E1031L2","","AP03442x","","","F026400215","","","","","","","","","",""
"EA52526","C2526","Air Filter","","","","","","2770500","","","","","","","","","","","","","",""
"EA55262","C2526/2","Air Filter","46242","CA5125","LX807","","E552L","3096800","AP147","AF4964","","1987429137","CAF100978P","MD9146","","ADD62216","A1189C","A1751","","S3968A","",""
"EA52545","C2545","Air Filter","","CA4354","","","","3087100","","","","","","MD306","","","","A575","","S2040A","",""
"EA55508","C25508","Air Filter","42410E","","","","E214L","","AM455","","","","","","","","","","","","",""
"EA55532","C2553/2","Air Filter","WA6469","CA4244","LX67","LX67MAZDA","","2774400","AR292","","","","W108","MD100","","","01EFA079","A485MAZDA","CMZ12404","","A140386",""
"EA52555","C2555","Air Filter","","","","","","2773200","","","","","","","","","","","","S3560A","",""
"EA55570","C25570","Air Filter","","","","","","","","","","","","","","","","","","","",""
