make,application_count,sku_count
MERCEDES-BENZ,18466,269
CATERPILLAR,16429,338
JOHN DEERE,7311,352
MAN TRUCK,7000,72
IVECO,6930,132
NEW HOLLAND,6264,307
TOYOTA,5850,174
CASE-IH (CNH GLOBAL),5580,291
MERCEDES-BENZ (USA),5152,143
FORD,5123,293
CLAAS,4709,211
BMW (USA),4664,99
RENAULT,4634,199
DEUTZ-FAHR (SAME DEUTZ-FAHR),4175,151
KOMATSU,4066,240
VW (VOLKSWAGEN),3853,152
VOLVO TRUCKS,3806,112
AUDI (USA),3749,118
EVOBUS (MERCEDES-BENZ/SETRA),3688,156
VW (VOLKSWAGEN) (USA),3478,107
RENAULT TRUCKS (RVI),3372,131
KUBOTA,3360,94
FIAT,3341,206
MASSEY-FERGUSON TRAKTOREN (AGCO),3290,170
PEUGEOT,3263,160
SCANIA,3237,66
CITROEN,3133,154
JCB (J.C. BAMFORD),2825,212
FENDT (AGCO),2734,174
OPEL,2476,193
MANITOU,2454,127
BOBCAT,2303,115
CASE CONSTRUCTION,2270,240
LIEBHERR,2247,224
VOLVO CONSTRUCTION EQUIPMENT,2239,216
BMW,2207,97
NISSAN,2124,165
MAN BUS (NEOMAN),2118,70
HYUNDAI,2099,148
VOLVO (USA),2078,49
VOLVO BUS,1940,75
AUDI,1833,104
LANDINI (ARGO),1818,100
PORSCHE (USA),1756,59
VAUXHALL,1754,143
ASTRA (IVECO GROUP),1724,35
SEAT,1663,83
STEYR (MAN-STEYR AG),1661,53
MITSUBISHI,1645,121
MCCORMICK (ARGO),1642,75
HITACHI,1622,189
VALTRA / VALMET (AGCO),1575,61
IVECO BUS,1487,103
HONDA,1484,80
VOLVO CARS,1464,65
DAF TRUCKS,1426,96
CASE-STEYR (CNH GLOBAL),1414,108
KIA MOTORS,1393,118
KOBELCO,1273,128
FIATAGRI (CNH GLOBAL),1228,47
HUERLIMANN TRAKTOREN,1226,58
SAME (SAME DEUTZ-FAHR),1211,79
MAZDA,1204,112
NEW HOLLAND CONSTRUCTION,1162,161
GMC (USA),1157,14
ALFA ROMEO,1103,79
